#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      393.5   518.9   173.5   247.7   271.7   358.7   389.3   405.2   419.3   433.4   456.3   495.2   653.0  9691.3 18317.2   4939.6     5000  1714548679271  1714548684676
read      396.5   390.8   173.5   233.9   253.3   392.4   437.5   458.4   471.5   488.9   506.4   541.1   629.1  2351.4 25836.2   9966.2    10000  1714548686180  1714548691555
read      399.3   268.2   160.7   223.5   240.6   393.5   460.0   487.7   504.8   525.6   548.1   583.6   681.0  1937.0 10119.0  15058.2    15000  1714548693059  1714548698365
read      392.8   221.6   148.8   213.2   229.6   370.0   463.1   498.0   520.1   543.5   571.8   610.4   693.4  1269.3  9953.0  19950.6    20000  1714548699869  1714548705175
read      386.6   222.8   148.8   206.2   221.6   346.9   453.4   496.7   523.5   551.1   581.8   628.5   720.4  1399.2  8626.7  25025.2    25000  1714548706679  1714548712006
read      381.7   239.4   148.8   204.5   219.3   330.7   439.3   494.7   528.5   563.1   599.0   646.3   728.5  1378.4  9673.5  30103.8    30000  1714548713509  1714548718833
read      376.3   202.1   148.8   203.6   218.1   326.4   420.3   482.5   522.1   561.9   603.3   657.3   734.7  1199.4  6885.3  35076.4    35000  1714548720335  1714548725635
read      376.2   220.6   148.8   204.0   218.7   326.6   411.8   473.3   515.4   560.0   607.6   663.3   738.4  1217.7  8584.0  39801.2    40000  1714548727138  1714548732430
read      376.8   201.3   148.8   204.9   220.2   330.9   411.3   469.0   511.8   559.8   611.3   667.6   743.4  1225.2  5341.9  44962.5    45000  1714548733933  1714548739226
read      370.5   191.0   148.8   203.7   218.1   323.1   401.1   456.7   498.1   546.0   605.0   669.6   747.1  1132.1  6977.0  50024.6    50000  1714548740729  1714548746021
read      364.5   168.1   148.8   204.8   219.1   321.1   392.5   443.5   484.5   533.0   590.5   655.5   736.6  1020.7  5062.7  55048.4    55000  1714548747525  1714548752816
read      359.9   191.6   148.8   204.5   218.5   317.0   378.8   424.6   464.6   515.8   581.6   657.0   740.3  1406.8  6602.1  60182.4    60000  1714548754319  1714548759635
read      356.2   168.2   148.8   205.0   219.3   319.5   383.3   424.4   458.2   501.1   555.5   631.6   730.3  1003.7  5578.7  65112.0    65000  1714548761139  1714548766429
read      365.0   181.0   148.8   206.3   220.9   324.2   391.7   436.0   471.6   517.8   577.4   653.2   748.1  1481.6  5987.4  69898.2    70000  1714548767932  1714548773222
read      351.0   167.1   148.8   206.0   219.8   313.9   371.8   410.1   442.8   486.0   544.2   632.8   733.4  1164.5  5422.6  74844.8    75000  1714548774726  1714548780021
read      355.8   170.9   148.8   207.8   222.4   322.3   383.6   421.3   450.7   487.5   537.8   618.1   732.4  1118.6  6295.4  80155.2    80000  1714548781525  1714548786813
read      355.5   148.1   148.8   209.0   223.7   323.8   383.4   420.2   448.9   485.5   534.7   616.4   732.3   947.5  3979.7  84874.6    85000  1714548788318  1714548793608
read      352.3   150.5   148.8   208.9   223.5   321.9   379.3   414.6   442.1   476.2   523.5   598.3   724.6  1146.4  4004.2  90021.0    90000  1714548795111  1714548800408
read      358.7   156.4   148.8   210.7   226.0   330.2   388.2   423.3   450.2   483.2   527.4   598.6   735.6  1218.9  5498.3  95001.7    95000  1714548801912  1714548807200
read      354.0   148.0   148.8   212.2   227.8   330.6   383.7   415.0   438.7   468.9   508.6   574.9   697.1  1016.6  5550.9  99687.2   100000  1714548808703  1714548813992
read      369.5   165.7   148.8   215.9   232.3   342.5   399.8   435.0   462.3   495.3   538.8   610.5   762.1  1116.7  5559.2 105103.2   105000  1714548815496  1714548820788
read      379.6   150.9   148.8   222.3   241.2   359.4   414.2   446.5   470.0   500.6   540.2   604.9   739.7  1004.7  5578.3 109893.2   110000  1714548822292  1714548827583
read      438.3   177.7   160.7   237.9   263.2   408.2   482.2   528.5   563.2   605.0   656.4   730.3   863.0  1084.9  4411.4 114962.3   115000  1714548829086  1714548834379
read      474.6   228.0   148.8   255.0   284.8   436.6   519.9   572.8   611.1   655.5   712.7   796.1   944.4  1243.1  8783.2 118151.2   120000  1714548835883  1714548841177
read      481.9   212.5   148.8   260.7   291.2   444.3   530.8   584.9   624.0   669.0   723.9   801.0   942.2  1245.6  7359.8 120954.0   125000  1714548842681  1714548847972
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.17%,36.68%,100.00%
