#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      381.2   470.9   160.7   227.9   255.9   349.4   379.5   394.8   404.4   420.6   437.1   470.1   856.2  9192.2 16902.5   5028.4     5000  1714052848206  1714052853644
read      384.9   303.0   148.8   211.3   227.7   382.1   430.7   455.0   470.6   490.0   509.8   544.6   630.8  2371.7 16594.9  10004.6    10000  1714052855149  1714052860534
read      398.3   226.3   148.8   207.7   223.7   392.0   464.0   497.9   520.4   544.2   575.0   618.4   707.2  1724.0  9141.5  15003.4    15000  1714052862039  1714052867368
read      409.4   270.7   148.8   202.7   219.2   388.5   473.4   516.8   545.2   577.5   616.1   670.5   786.3  1858.6  9543.2  19869.2    20000  1714052868873  1714052874203
read      420.5   234.1   148.8   206.1   223.9   391.9   481.7   531.8   566.2   604.6   651.6   718.0   837.9  1672.4  8961.9  25024.0    25000  1714052875708  1714052881055
read      429.8   247.3   148.8   206.4   225.1   398.3   486.9   539.3   578.2   623.0   677.3   750.4   888.9  1553.1  9144.7  29983.8    30000  1714052882560  1714052887888
read      436.8   244.6   137.8   206.7   225.8   407.0   491.9   542.7   582.3   628.9   687.5   770.6   918.2  1717.3  9421.8  35019.6    35000  1714052889393  1714052894697
read      446.5   248.8   137.8   210.7   230.5   417.5   505.3   553.9   591.5   638.0   700.2   791.5   955.5  1698.7  9210.4  40026.6    40000  1714052896202  1714052901515
read      442.3   232.2   148.8   209.3   228.6   411.7   501.2   551.8   590.4   637.2   700.2   791.6   952.2  1443.2  9688.4  44920.0    45000  1714052903021  1714052908334
read      434.2   216.9   148.8   205.8   224.1   403.8   492.5   542.9   582.5   631.1   691.5   781.7   936.8  1272.0  5729.2  50002.8    50000  1714052909838  1714052915155
read      436.1   236.3   148.8   205.0   223.4   400.8   493.8   546.7   586.8   634.9   696.4   790.3   950.8  1423.8  7861.6  55050.4    55000  1714052916658  1714052921959
read      438.9   255.8   148.8   205.4   224.8   402.9   493.8   546.8   586.9   636.0   701.6   795.1   955.5  1348.4  9492.0  60034.0    60000  1714052923462  1714052928774
read      439.1   232.4   148.8   207.1   227.3   402.5   493.0   546.5   588.2   637.4   703.7   794.9   968.8  1338.3  7893.6  64887.8    65000  1714052930277  1714052935590
read      434.6   245.6   148.8   206.8   227.0   399.5   488.2   540.9   580.0   626.9   688.1   779.4   944.2  1268.9  8638.3  69733.6    70000  1714052937094  1714052942398
read      432.0   238.0   137.8   208.0   229.3   397.1   484.0   535.1   574.0   620.4   679.0   765.7   926.1  1209.5  9793.6  74936.6    75000  1714052943902  1714052949217
read      481.8   265.9   148.8   226.5   257.9   444.1   532.7   587.5   632.0   686.4   755.0   856.6  1058.3  1307.4 10146.3  79967.6    80000  1714052950721  1714052956024
read      567.8   464.4   148.8   244.4   286.7   517.8   605.9   664.3   722.0   815.1   953.7  1100.1  1273.3  2129.1 14019.2  84366.8    85000  1714052957529  1714052962838
read      744.7   365.0   148.8   461.2   491.6   619.5   745.9   988.2  1053.1  1109.3  1164.6  1237.4  1360.7  1924.2 13745.1  85133.4    90000  1714052964344  1714052969652
read      774.7   369.9   148.8   488.5   519.6   638.1   748.0  1040.8  1104.0  1153.8  1207.3  1269.0  1381.8  2503.7 13609.2  83973.2    95000  1714052971156  1714052976464
read      813.6   419.9   173.5   533.1   561.4   669.2   743.4  1098.8  1168.0  1223.6  1273.7  1345.4  1476.9  2809.2 16249.2  80593.2   100000  1714052977969  1714052983279
read      786.7   424.1   173.5   512.9   538.4   645.1   730.4  1060.5  1129.9  1180.6  1234.2  2294.5  1416.1  2495.4 17307.8  83274.8   105000  1714052984782  1714052990087
read      809.6   419.2   160.7   536.7   562.5   667.9   737.4  1097.3  1168.5  1222.5  1270.3  2343.1  1466.8  3296.2 16114.9  81154.2   110000  1714052991590  1714052996901
read      715.6   376.3   160.7   454.9   479.9   582.8   697.1   970.8  1023.1  1065.6  1110.8  2168.0  1269.4  2262.7 15258.8  91497.2   115000  1714052998404  1714053003710
read      716.1   343.1   160.7   445.9   474.3   587.9   798.8   964.7  1012.3  1056.7  1100.6  2171.0  1279.4  2039.3 12148.1  91258.0   120000  1714053005214  1714053010529
read      754.4   378.5   148.8   475.7   505.2   619.6   786.3  1028.1  1076.0  1121.9  1165.8  2230.7  1347.2  1737.1 15560.6  86597.8   125000  1714053012034  1714053017352
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.75%,72.22%,100.00%
