#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      365.4   608.2   160.7   234.4   258.7   330.5   354.1   366.9   375.0   388.6   402.2   435.8   641.7 10307.9 24913.8   4946.4     5000  1714389327319  1714389332789
read      362.6   290.5   148.8   214.3   232.1   354.1   391.5   409.6   422.6   435.6   455.7   482.9   560.8  4069.0 12590.7  10039.2    10000  1714389334296  1714389339681
read      369.5   332.3   137.8   205.8   222.4   359.6   415.7   441.2   457.8   475.3   497.6   529.9   595.1  3932.8 15898.3  15085.6    15000  1714389341185  1714389346516
read      368.1   283.5   148.8   196.9   212.9   349.8   425.1   456.3   475.8   496.7   521.2   552.4   632.7  3035.8 10766.5  19984.0    20000  1714389348021  1714389353356
read      363.7   241.1   137.8   194.4   209.8   331.3   421.3   460.1   483.8   507.6   536.5   576.4   662.8  1957.6 10049.8  25070.4    25000  1714389354858  1714389360187
read      361.1   203.0   137.8   192.0   206.9   326.3   414.0   459.5   487.2   515.3   546.1   589.2   682.4  1564.4  7987.3  30029.4    30000  1714389361690  1714389367006
read      362.1   244.5   137.8   192.8   208.1   326.5   407.8   455.8   485.7   516.4   549.9   598.4   701.5  1496.7 12666.6  35042.0    35000  1714389368510  1714389373809
read      360.3   213.0   137.8   189.7   204.2   326.5   403.2   452.3   484.8   518.3   555.6   607.2   714.8  1439.3  9144.8  39966.6    40000  1714389375314  1714389380619
read      362.5   193.9   148.8   192.6   207.7   330.7   403.9   452.3   485.5   521.1   559.9   612.3   714.2  1413.9  6930.5  45103.0    45000  1714389382123  1714389387428
read      360.9   193.4   137.8   191.3   205.8   329.4   401.9   447.9   480.7   517.3   559.0   616.7   734.0  1280.4  7786.9  49686.8    50000  1714389388932  1714389394237
read      360.0   189.4   137.8   191.6   206.4   330.1   401.8   445.0   476.7   513.3   554.4   612.3   725.0  1432.7  7336.2  55018.4    55000  1714389395740  1714389401054
read      358.8   172.2   137.8   192.0   206.7   329.9   401.2   443.8   475.2   510.9   553.7   615.0   730.2  1098.5  5295.4  59890.6    60000  1714389402558  1714389407866
read      356.1   178.4   137.8   191.8   206.5   325.9   396.1   438.2   469.2   505.6   549.0   610.8   730.2  1094.9  6795.2  64951.2    65000  1714389409370  1714389414681
read      356.3   163.8   137.8   192.2   206.9   324.8   397.9   440.4   471.3   507.6   551.5   615.7   742.1   993.1  4450.1  69900.6    70000  1714389416185  1714389421473
read      353.8   169.0   137.8   191.7   206.3   322.0   392.0   433.1   464.2   500.6   546.1   612.2   743.6  1016.1  6507.7  74917.9    75000  1714389422977  1714389428294
read      354.4   188.4   137.8   192.6   207.3   322.1   391.8   432.2   462.7   498.9   544.2   613.2   748.6  1049.6  7703.2  80033.0    80000  1714389429797  1714389435117
read      352.4   181.6   137.8   190.8   205.6   321.7   388.3   427.2   456.6   492.4   539.8   613.6   770.9  1043.0  6499.4  84962.2    85000  1714389436621  1714389441922
read      358.6   166.6   137.8   195.8   211.7   328.5   395.2   433.1   462.2   498.0   544.5   619.7   778.3  1042.9  5053.3  89992.6    90000  1714389443426  1714389448728
read      353.1   177.8   137.8   193.4   208.8   324.2   388.3   425.7   454.3   488.9   534.7   607.2   752.1  1005.9  6716.0  95124.6    95000  1714389450232  1714389455538
read      358.7   165.4   137.8   197.1   213.5   332.2   394.8   431.4   459.3   493.4   538.7   610.9   756.5  1011.0  4488.5  99855.8   100000  1714389457042  1714389462341
read      377.4   190.3   137.8   200.1   218.1   345.6   411.0   450.9   481.1   520.6   576.3   671.2   866.6  1099.5  4293.0 104966.2   105000  1714389463845  1714389469148
read      379.4   194.5   137.8   205.1   224.8   353.3   415.3   452.7   481.1   517.4   566.9   641.2   796.1   986.2  6416.7 109856.5   110000  1714389470653  1714389475952
read      415.1   259.9   137.8   210.1   233.5   376.9   448.8   496.9   536.0   584.4   645.7   739.7   904.6  1151.9  9638.2 114283.6   115000  1714389477456  1714389482759
read      501.3   288.6   148.8   259.4   293.6   454.7   555.9   619.0   662.8   711.9   770.5   853.0  1005.9  1260.4  9272.5 118914.2   120000  1714389484262  1714389489551
read      512.9   239.4   148.8   277.3   307.6   468.0   582.5   641.4   679.6   721.5   770.5   839.0   970.8  1261.9  9246.3 119733.2   125000  1714389491054  1714389496354
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.33%,69.04%,100.00%
