#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      372.7   386.8   173.5   241.1   266.6   347.8   372.9   388.2   398.1   410.9   429.8   463.2   647.1  5949.1 13179.1   4980.8     5000  1714398122121  1714398127577
read      382.6   258.1   160.7   222.0   239.5   379.5   419.6   438.5   452.7   466.9   487.9   516.9   596.9  3916.8 11064.5  10021.2    10000  1714398129082  1714398134488
read      390.1   248.6   160.7   213.2   229.5   389.2   450.5   476.4   493.7   511.6   536.9   573.6   642.3  1797.8 12061.2  14932.8    15000  1714398135993  1714398141339
read      385.7   231.5   160.7   207.4   222.2   368.9   451.6   484.4   504.6   528.6   555.7   593.9   681.4  2455.5  8826.7  19896.4    20000  1714398142844  1714398148186
read      381.8   233.8   148.8   204.6   219.1   344.7   449.1   491.8   517.6   545.4   579.2   623.5   700.5  1624.6 11006.1  24982.5    25000  1714398149691  1714398155026
read      381.2   251.9   148.8   202.1   215.7   332.3   442.4   494.5   525.3   556.9   592.9   638.7   733.2  1770.1 12205.1  29770.8    30000  1714398156530  1714398161839
read      377.5   237.3   148.8   201.6   214.9   325.5   426.1   485.3   520.3   558.8   601.2   652.8   741.3  1789.2 10765.7  34999.8    35000  1714398163343  1714398168654
read      374.9   222.5   148.8   202.0   215.4   325.9   412.9   474.0   513.6   556.0   603.6   658.7   747.5  1572.7  9310.1  40086.8    40000  1714398170158  1714398175472
read      371.8   201.7   148.8   202.8   216.1   324.8   404.6   463.8   504.6   548.8   600.3   660.9   756.4  1516.6  7459.1  44829.0    45000  1714398176977  1714398182301
read      376.0   204.9   148.8   204.8   219.3   329.9   407.9   462.8   503.3   551.7   609.1   675.5   790.2  1197.4  7527.3  50128.2    50000  1714398183806  1714398189118
read      369.0   214.0   148.8   204.0   218.0   325.6   398.8   449.0   488.3   534.9   592.6   662.3   769.3  1089.0  8097.9  54821.8    55000  1714398190623  1714398195932
read      362.8   194.5   148.8   202.8   215.9   320.7   390.5   437.1   476.7   524.6   584.1   655.5   757.6   999.6  6144.7  59932.6    60000  1714398197436  1714398202748
read      357.1   192.9   148.8   203.4   216.6   318.4   383.3   425.8   460.8   504.5   562.8   638.5   745.6   983.4  6196.3  65106.6    65000  1714398204254  1714398209585
read      358.2   383.0   148.8   206.3   221.1   322.8   386.2   424.9   456.0   495.5   548.5   630.0   753.0   970.0  4068.6  70098.9    70000  1714398211090  1714398216410
read      357.2   181.7   148.8   205.3   219.7   314.1   380.0   425.2   460.6   502.9   558.2   637.5   784.9  1137.4  7751.9  74847.6    75000  1714398217914  1714398223225
read      351.5   169.9   148.8   205.0   219.4   319.6   379.4   415.7   443.9   479.4   529.4   609.6   740.2   954.2  6461.5  79984.6    80000  1714398224729  1714398230046
read      351.5   161.2   148.8   205.3   219.6   320.9   380.3   416.3   443.8   478.7   527.8   604.8   744.1  1014.3  3839.1  84959.6    85000  1714398231551  1714398236865
read      350.7   206.4   148.8   205.5   219.7   321.2   379.3   413.2   438.3   470.3   516.7   591.6   733.7   997.3  8202.6  89857.2    90000  1714398238370  1714398243719
read      348.0   149.7   148.8   206.6   221.3   320.9   376.7   409.5   434.5   466.2   508.7   582.1   726.9   962.0  4218.3  94795.8    95000  1714398245223  1714398250559
read      348.8   162.0   148.8   207.8   223.0   325.1   377.9   408.1   431.4   460.5   500.5   569.2   711.5  1012.4  6256.3  99980.4   100000  1714398252064  1714398257374
read      375.0   185.0   148.8   210.2   226.6   339.4   398.6   435.4   465.6   505.2   566.3   672.0   889.0  1174.9  6671.1 104688.6   105000  1714398258878  1714398264186
read      358.6   168.7   148.8   210.3   226.9   334.6   387.4   418.5   442.1   471.1   515.1   591.6   758.6   994.2  5734.3 109841.3   110000  1714398265691  1714398270995
read      425.8   207.7   160.7   225.8   249.1   387.9   454.7   499.8   537.5   586.5   656.3   768.5   951.3  1190.6  7169.1 114516.4   115000  1714398272500  1714398277813
read      399.0   187.7   148.8   222.9   243.9   370.2   428.8   465.4   495.9   535.4   589.7   678.5   861.7  1091.5  6225.6 119873.8   120000  1714398279318  1714398284620
read      463.8   209.6   148.8   245.7   276.5   428.8   507.2   558.7   596.6   640.9   696.2   779.7   935.9  1182.1  7535.7 122016.0   125000  1714398286124  1714398291432
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.44%,54.27%,100.00%
