#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      314.4   179.2   160.7   215.8   228.2   294.4   329.3   350.9   368.4   390.5   420.5   465.9   543.9  1061.8  8018.8  30194.5    30155  1714235898150  1714235908260
read      315.4   172.2   160.7   217.9   229.2   294.5   329.7   351.7   369.1   391.4   421.4   466.4   545.5  1322.5  8279.5  30120.3    30160  1714235909768  1714235919885
read      319.0   196.9   160.7   219.1   231.1   296.5   332.0   354.6   371.8   394.8   425.5   471.1   559.8  1731.4  8368.4  30183.8    30165  1714235921393  1714235931532
read      317.6   174.8   160.7   218.7   230.4   296.4   332.3   354.8   372.2   395.2   425.9   471.3   550.6  1083.7  7975.6  30154.4    30170  1714235933038  1714235943153
read      316.8   195.0   160.7   217.0   229.0   295.4   330.8   353.4   370.8   393.3   423.5   469.2   548.6  1257.6  8736.2  30162.9    30175  1714235944659  1714235954763
read      314.6   173.6   160.7   216.9   228.6   294.5   330.3   352.7   370.0   392.0   421.4   466.1   544.2   880.1  7817.1  30136.5    30180  1714235956270  1714235966381
read      316.2   177.8   160.7   218.0   229.6   295.8   331.4   353.7   370.8   392.9   422.7   467.3   545.7  1055.1 10213.8  30257.9    30185  1714235967889  1714235978000
read      320.8   187.2   160.7   220.8   233.4   299.6   335.8   358.5   374.9   397.5   427.6   472.1   552.8  1256.6  8460.7  30098.6    30190  1714235979508  1714235989620
read      318.6   181.1   160.7   220.1   231.7   296.7   333.4   356.2   372.9   395.2   424.7   469.3   550.1  1308.7  8136.8  30115.1    30195  1714235991125  1714236001237
read      313.1   178.5   160.7   212.9   225.5   292.4   328.5   351.1   368.6   390.5   420.0   464.5   544.7  1215.3  7990.5  30151.7    30200  1714236002743  1714236012862
read      314.3   192.3   160.7   215.6   227.5   292.2   327.0   349.5   368.0   391.3   422.8   469.4   550.0  1137.2  8499.7  30231.6    30205  1714236014369  1714236024478
read      312.3   205.6   160.7   215.8   227.4   290.1   322.9   345.2   363.7   386.3   417.6   464.3   545.5  1478.8  8576.7  30296.6    30210  1714236025986  1714236036105
read      317.6   182.3   160.7   217.1   229.5   296.4   331.8   353.9   371.0   393.6   424.6   469.9   548.1  1325.7  8580.1  30196.2    30215  1714236037610  1714236047724
read      317.7   166.4   160.7   217.2   229.6   297.1   333.6   356.4   373.2   395.9   425.9   470.4   549.0  1100.8  8029.2  30195.6    30220  1714236049229  1714236059344
read      315.7   165.5   160.7   215.9   228.0   294.5   330.9   353.7   371.2   394.0   424.7   470.1   551.1  1092.4  7909.2  30247.0    30225  1714236060851  1714236070982
read      316.2   179.5   160.7   217.2   228.9   295.5   332.2   355.3   372.4   394.9   424.8   468.6   546.0   905.5  8054.1  30257.9    30230  1714236072490  1714236082606
read      318.0   188.0   160.7   216.9   229.0   295.8   332.2   355.3   372.5   395.4   426.1   471.6   550.6  1519.5  8059.7  30219.5    30235  1714236084111  1714236094224
read      322.4   203.3   160.7   220.4   232.9   300.5   337.3   360.2   376.6   398.2   427.6   471.0   551.4  1727.9  8506.7  30227.0    30240  1714236095730  1714236105843
read      325.5   194.4   160.7   221.9   236.1   305.6   341.3   364.1   381.1   401.8   431.5   476.4   558.7  1016.6  8642.5  30178.2    30245  1714236107351  1714236117470
read      318.7   178.7   160.7   219.2   231.0   297.3   333.7   356.7   373.5   396.2   427.0   473.3   556.1  1040.0  8716.8  30241.9    30250  1714236118978  1714236129100
read      319.8   186.5   160.7   219.2   231.0   297.5   334.9   358.5   375.7   398.5   429.2   475.4   557.9  1080.5  8056.7  30283.1    30255  1714236130607  1714236140725
read      315.8   172.5   160.7   217.2   228.9   295.2   331.0   353.3   370.6   392.8   422.7   467.5   545.5  1137.8  7860.9  30307.5    30260  1714236142230  1714236152344
read      317.3   183.3   148.8   215.8   228.1   295.1   331.6   354.6   372.0   395.4   426.9   473.8   560.1  1074.6  8501.8  30303.0    30265  1714236153850  1714236163964
read      321.9   185.3   160.7   221.1   233.9   300.8   337.0   359.7   376.0   398.6   429.4   475.5   559.1  1125.2  8712.5  30194.2    30270  1714236165470  1714236175588
read      320.2   223.7   160.7   217.4   229.5   296.8   333.7   356.7   373.7   396.8   427.4   472.4   557.1  1828.4 10369.8  30280.0    30275  1714236177094  1714236187206
read      319.5   183.8   160.7   218.4   230.0   297.3   334.3   357.3   374.1   396.9   427.2   473.0   552.8  1554.4  8456.6  30225.7    30280  1714236188713  1714236198829
read      320.3   170.7   160.7   219.0   230.9   299.6   336.4   359.4   376.0   398.6   429.1   474.9   564.0  1013.0  8222.1  30363.3    30285  1714236200335  1714236210445
read      318.7   209.7   148.8   219.0   230.5   295.5   331.8   354.9   372.4   395.6   426.5   471.7   550.5  1513.2 10239.0  30184.8    30290  1714236211951  1714236222067
read      319.2   181.2   148.8   219.9   232.0   297.7   333.3   355.5   372.3   394.7   424.9   470.5   553.8  1219.0  8638.1  30337.9    30295  1714236223575  1714236233686

