Random waveform, supplied seed
Total number of intervals = 81 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016)
Average QPS expected = 52097
Timestamp start: 1714593135640
Timestamp end: 1714593941080

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      389.2   411.8   148.8   221.8   240.3   360.2   406.1   431.5   449.7   469.2   497.7   542.0   855.1  5702.4 16123.9   7364.2     7434
read      410.1   457.8   148.8   201.4   216.5   334.1   406.8   456.5   497.6   547.2   612.3   735.8  1723.4  4976.2 13834.7  67110.7    67201
read      407.4   429.8   148.8   201.1   216.9   335.9   401.5   443.7   477.1   521.9   584.7   729.8  1729.1  5028.0 12266.2  85901.4    85927
read      394.6   348.9   148.8   198.5   213.1   330.5   402.5   452.7   494.2   544.8   607.7   708.2  1485.7  3437.2 12226.2  63787.5    63953
read      465.2   640.9   148.8   201.8   216.8   353.0   475.0   542.2   587.8   645.9   756.8   951.2  1626.8  7410.0 29573.1  31587.8    31595
read      527.0   636.7   137.8   208.9   228.6   381.9   454.5   506.6   557.4   642.6  1065.7  1615.1  2060.6  7556.4 23933.9  87841.4    87879
read      547.4  1663.9   148.8   220.9   239.3   354.1   400.6   428.2   449.5   475.7   524.7   856.6  4732.8 31000.5 40075.0   7315.2     7287
read      395.5   348.3   137.8   199.6   214.4   333.6   411.7   461.2   500.8   547.6   605.7   699.0  1398.0  3871.6  9894.7  62154.1    62295
read      507.0  1285.3   160.7   222.9   242.1   352.6   397.0   424.1   445.0   471.3   519.8   806.6  3996.2 23430.4 37270.1   6607.5     6561
read      496.3   932.0   148.8   203.6   219.5   380.0   483.7   535.8   572.5   621.8   707.9   882.9  3045.0 11106.2 34452.0  22518.2    22532
read      404.6   360.2   137.8   200.4   215.1   337.6   416.0   467.0   509.2   559.4   623.6   730.2  1538.5  3758.3  9529.2  60623.7    60653
read      397.2   371.9   148.8   199.2   214.0   332.7   406.9   457.7   499.8   548.7   609.7   699.1  1482.4  4157.1 11511.6  59051.4    59076
read      397.6   383.0   148.8   198.4   213.2   334.2   410.0   459.2   499.8   548.3   609.5   700.4  1473.0  4060.5 10953.0  60172.3    60154
read      493.6   936.8   148.8   202.9   218.1   370.7   471.8   525.2   562.4   611.5   693.8   866.3  3123.3 11462.6 32390.9  23047.5    22964
read      545.6  1622.9   148.8   213.3   230.8   358.9   413.8   442.9   463.4   490.0   527.7   637.1  5570.3 30228.3 40633.2   8222.7     8172
read      468.0   607.3   148.8   203.7   219.9   382.6   496.0   557.6   605.5   666.9   747.1   882.6  1427.6  6916.3 29874.2  27619.5    27652
read      460.8   530.3   148.8   205.0   221.1   351.9   464.7   538.2   588.1   648.7   761.2   975.2  1604.3  6393.2 24033.9  37532.8    37594
read      460.4   486.3   148.8   209.7   227.0   392.3   495.8   551.5   593.0   645.1   718.1   851.1  1375.6  5477.1 24870.0  24464.8    24367
read      446.0   453.7   148.8   202.3   217.6   357.0   474.1   539.6   584.5   638.9   729.2   901.6  1440.4  4642.6 14436.4  33690.0    33771
read      410.2   473.4   137.8   202.8   218.9   342.4   413.3   457.7   492.4   536.0   594.5   711.1  1691.0  5102.3 17132.7  85012.0    84944
read      393.1   446.0   137.8   202.0   217.4   334.4   401.2   442.4   474.3   516.6   573.5   672.1  1489.0  4913.4 15997.4  85679.1    85666
read      420.9   369.5   148.8   199.9   215.3   339.8   425.2   484.9   533.1   589.7   667.8   873.3  1538.4  3989.4 10059.4  51863.5    51918
read      453.2   496.5   148.8   203.3   219.1   358.6   471.0   538.3   585.7   642.3   733.7   926.6  1511.0  6150.3 14540.3  34410.6    34406
read      450.0   501.4   148.8   204.8   220.7   367.6   482.4   540.9   581.3   629.7   704.8   871.4  1465.4  5275.3 29414.4  28570.4    28664
read      448.4   456.2   137.8   202.9   218.5   353.0   468.0   539.7   588.3   646.8   737.6   942.7  1493.2  4610.8 15876.4  38287.2    38289
read      437.7   415.1   148.8   207.4   224.6   388.3   478.9   530.4   565.8   608.0   660.3   739.4  1250.2  3970.5 13025.6  20575.0    20658
read      504.5  1040.9   148.8   213.6   230.5   389.1   465.5   510.9   543.3   585.0   641.2   764.0  3079.3 12501.7 36149.5  13901.5    13840
read      427.7   534.0   148.8   207.7   225.8   358.6   430.0   473.6   508.6   552.1   615.0   733.0  1685.2  7085.1 26034.5  93373.5    93419
read      404.1   453.6   148.8   205.0   222.1   345.4   411.6   452.7   484.2   525.2   581.5   683.9  1521.4  5969.5 14986.4  98338.3    98284
read      383.4   355.6   148.8   198.9   213.2   324.8   394.3   438.5   474.2   522.2   581.1   673.1  1416.6  3872.3 11018.6  71399.8    71313
read      453.2   500.6   148.8   203.0   218.6   345.3   449.0   522.4   573.0   633.4   737.1   980.8  1671.8  5519.5 15281.5  42101.7    42089
read      445.4   479.8   148.8   202.7   218.2   342.6   436.4   507.6   558.9   619.5   707.8   955.5  1644.5  5831.7 14752.4  46521.2    46458
read      469.6   618.9   148.8   203.0   218.7   356.2   478.2   542.6   586.5   645.6   765.6   974.3  1884.5  6420.0 30463.4  30674.4    30755
read      448.6   611.5   148.8   199.5   215.0   336.9   436.0   508.3   558.4   615.7   702.1   994.3  1675.4  7078.7 23883.8  43050.8    42889
read      391.7   463.8   137.8   202.1   217.8   333.1   397.4   436.9   467.8   507.6   561.4   653.7  1561.1  5256.5 22752.4  93606.3    93552
read      397.0   337.2   148.8   202.8   218.1   339.1   416.5   464.5   503.4   549.0   608.6   705.0  1328.5  3654.2  9499.6  65864.1    65694
read      493.6   652.1   148.8   206.4   223.0   379.6   506.6   578.0   632.4   708.2   820.2   915.1  1731.0  8109.7 30880.6  29467.0    29574
read      451.8   491.4   137.8   203.7   219.4   339.0   427.8   498.3   552.2   619.5   735.0  1111.2  1766.2  5423.4 14023.6  51265.2    51355
