Random waveform, supplied seed
Total number of intervals = 162 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587)
Average QPS expected = 49492
Timestamp start: 1714598727317
Timestamp end: 1714599537791

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      419.3   695.3   160.7   224.4   242.1   370.9   424.8   453.4   471.7   495.5   526.4   584.0  1421.7  8496.6 36362.2   7360.8     7434
read      408.8   370.3   148.8   203.9   219.8   341.8   419.3   467.5   505.9   554.7   621.6   737.9  1600.4  3915.3  9706.5  67270.0    67201
read      432.9   544.5   137.8   203.2   219.8   344.7   414.0   458.8   495.0   542.0   613.6   808.3  1937.4  6141.1 20210.5  85758.4    85927
read      422.6   437.5   148.8   200.8   216.3   341.9   418.9   468.6   511.4   565.7   636.6   790.7  1751.8  5164.8  8788.7  64059.2    63953
read      510.4   750.7   148.8   204.5   221.1   390.4   522.4   607.2   674.0   757.4   858.9   942.8  1756.0  7851.5 32315.7  31635.0    31595
read      556.0   643.7   148.8   214.3   236.4   393.6   479.3   541.7   598.2   690.4  1326.9  1663.3  2299.1  6970.5 24904.1  87826.0    87879
read      414.1   660.5   160.7   221.6   240.3   358.7   404.3   428.7   446.5   467.0   497.1   559.4  1636.4  7746.2 30943.1   7312.6     7287
read      405.8   297.5   148.8   199.0   214.5   337.5   416.7   468.4   510.4   564.1   632.8   766.6  1542.4  2709.3  8135.7  62079.6    62295
read      510.5  1428.5   160.7   223.6   242.9   363.3   413.9   441.7   462.0   487.7   525.1   629.6  4477.1 29784.6 40663.9   6607.4     6561
read      542.0  1224.4   148.8   203.8   220.5   395.0   499.2   556.5   605.1   671.3   765.1   931.3  3324.5 17414.9 36795.6  22613.0    22532
read      409.4   331.0   148.8   198.3   213.8   336.2   414.8   466.9   510.4   567.0   636.4   775.6  1620.2  3708.5  7265.9  60717.8    60653
read      402.2   362.1   148.8   197.6   212.6   333.9   410.3   463.4   505.9   559.2   625.7   730.1  1513.2  3283.2 11826.3  59092.2    59076
read      402.1   491.7   148.8   197.1   212.2   330.9   404.6   456.6   498.7   551.3   617.8   714.9  1461.8  4326.5 22694.6  60105.4    60154
