Random waveform, supplied seed
Total number of intervals = 167 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813)
Average QPS expected = 49518
Timestamp start: 1715005721918
Timestamp end: 1715006557515

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      426.1   627.5   173.5   230.3   251.3   386.6   436.6   464.5   485.5   509.0   541.2   592.6  1171.5  5607.1 31616.0   7277.8     7434
read      384.7   261.7   148.8   207.5   222.2   332.4   401.4   448.1   487.5   539.3   600.4   683.7  1169.5  2278.7  5825.5  66960.2    67201
read      400.1   282.5   148.8   213.6   229.7   351.5   421.5   464.8   499.1   541.8   599.4   693.6  1087.4  3050.2  8526.5  86101.6    85927
read      391.0   213.4   148.8   212.1   227.6   344.3   419.9   467.7   507.4   556.6   614.2   689.4   934.0  1954.1  7899.7  63972.4    63953
read      435.3   378.1   148.8   209.7   225.7   363.6   479.5   547.4   588.1   629.4   682.0   797.7  1203.3  3955.9 12463.0  31679.6    31595
read      393.5   253.3   148.8   214.7   230.9   350.6   418.9   460.9   494.6   537.5   593.9   688.8  1028.4  1902.7  7442.3  88019.0    87879
read      428.1   521.9   160.7   232.0   254.4   392.6   438.8   464.0   483.4   506.5   541.2   602.2  1355.4  5845.9 30323.4   7308.2     7287
read      384.5   211.1   148.8   207.9   222.8   336.8   410.9   460.0   501.0   552.7   612.4   682.9   909.0  2220.2  6351.2  62102.0    62295
read      506.0  1389.2   160.7   230.8   254.2   381.6   427.7   452.6   468.9   493.8   527.6   592.3  3229.2 30633.0 37097.3   6568.0     6561
read      489.5   786.7   160.7   205.7   221.6   393.1   498.6   553.2   592.1   643.6   726.8   879.5  2302.3  7541.8 31893.6  22376.2    22532
