Random waveform, supplied seed
Total number of intervals = 87 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912)
Average QPS expected = 51650
Timestamp start: 1715010973844
Timestamp end: 1715011836343

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      437.0   603.7   173.5   229.6   251.4   397.4   452.8   484.0   505.4   531.4   563.3   618.4  1299.9  6793.6 31703.5   7406.6     7434
read      404.1   262.8   148.8   212.4   228.1   353.3   431.9   479.9   518.1   564.4   624.1   714.7  1121.6  2482.2  9725.0  67209.0    67201
read      395.3   211.6   148.8   214.5   231.2   357.8   428.4   470.6   504.1   544.0   596.3   681.7   925.9  1974.0  7745.5  85753.9    85927
read      395.8   208.4   148.8   210.6   226.1   350.6   431.1   479.4   518.1   564.0   620.2   697.8   931.9  2063.4  5370.9  63928.2    63953
read      459.5   527.0   148.8   209.2   225.5   370.1   486.9   553.8   595.4   643.5   715.3   887.1  1463.5  6181.0 26735.7  31668.3    31595
read      397.1   249.8   148.8   216.0   233.0   359.4   428.0   468.9   501.6   540.8   592.0   679.4   932.0  2156.9  8487.3  87801.7    87879
read      519.1  1279.8   160.7   226.2   247.7   375.9   427.1   456.6   479.6   509.6   558.1   768.5  3721.2 25978.4 36570.6   7345.9     7287
read      424.6   346.7   148.8   210.0   225.6   357.9   438.8   491.0   532.9   583.9   652.4   771.8  1606.1  3401.4 10878.7  62217.4    62295
read      495.4  1129.1   160.7   228.6   252.8   367.6   412.5   435.2   456.0   482.0   529.2   718.0  3471.3 19619.3 32197.8   6574.3     6561
read      522.8   968.8   160.7   209.3   225.5   399.8   509.9   567.2   608.3   664.3   753.9   947.4  2645.9 12411.9 35959.3  22512.9    22532
read      425.5   314.2   148.8   210.2   225.9   359.4   441.2   495.6   538.7   591.0   661.0   779.0  1591.9  2990.9  8963.7  60534.4    60653
read      422.9   333.4   148.8   209.5   225.1   356.9   437.9   491.5   535.5   588.7   657.4   768.2  1560.2  3055.2 10478.6  59149.5    59076
read      426.9   367.4   148.8   209.5   225.1   359.0   441.5   495.6   538.6   590.4   660.6   778.3  1595.0  3792.4  9638.8  60087.2    60154
read      512.4   910.7   160.7   209.1   224.8   395.7   509.7   567.5   610.0   668.1   765.0   958.1  2325.3 13067.5 31920.7  23039.5    22964
read      496.1  1082.7   160.7   223.1   243.7   382.1   432.3   461.5   484.7   513.9   562.0   722.2  3361.0 13511.6 35633.0   8196.4     8172
read      485.5   707.4   148.8   207.4   223.0   373.6   492.2   556.6   600.5   655.0   740.2   966.4  1926.6  8699.9 31461.2  27560.5    27652
read      413.6   283.9   148.8   206.4   221.6   351.8   445.5   510.3   556.3   604.4   660.5   738.2  1267.6  2525.4  8273.8  37553.0    37594
read      502.9   844.3   160.7   207.4   223.0   386.4   502.0   561.6   602.5   657.4   748.5   955.3  2346.5 11643.5 32077.0  24282.4    24367
read      416.5   347.0   148.8   206.2   221.2   353.3   452.8   517.7   560.4   605.2   657.7   733.4  1216.5  3294.3 10406.8  33687.4    33771
read      392.2   249.7   148.8   210.5   226.7   350.4   421.0   464.3   498.3   539.4   593.7   682.9   950.7  2437.1  8433.6  85025.7    84944
