Random waveform, supplied seed
Total number of intervals = 170 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665)
Average QPS expected = 49523
Timestamp start: 1715006844767
Timestamp end: 1715007695354

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      423.7   443.1   173.5   227.7   249.1   385.9   440.4   467.8   488.9   512.2   548.6   614.7  1268.8  5710.9 18508.2   7335.6     7434
read      398.6   242.2   160.7   211.1   226.5   349.1   427.0   476.1   515.7   565.2   625.5   711.2  1011.7  2366.8  8164.5  67299.0    67201
read      403.7   260.7   160.7   214.5   231.0   358.3   432.0   477.1   511.3   555.8   614.8   706.3  1025.6  2609.5  9786.5  85591.6    85927
read      395.3   252.4   160.7   209.5   224.9   346.7   426.8   477.4   517.5   568.6   628.0   706.6   934.0  1951.0  8243.3  64081.0    63953
read      446.6   389.0   148.8   208.4   224.3   370.3   499.4   567.7   611.2   654.8   709.6   820.2  1304.3  3649.6 13538.2  31590.6    31595
read      405.7   270.7   148.8   217.1   233.9   365.1   436.8   481.3   514.3   555.0   611.2   698.8   964.3  2211.0  9639.3  87856.4    87879
read      448.8   795.2   173.5   229.5   250.4   384.8   441.0   470.4   492.5   517.2   549.4   613.2  1472.3  8778.6 31550.5   7275.4     7287
read      405.7   241.0   148.8   210.9   226.2   351.3   436.0   490.9   532.8   583.1   640.7   726.1  1123.1  2237.5  7669.3  62027.4    62295
read      521.7  1290.2   173.5   229.8   253.1   375.3   425.1   455.2   477.4   508.1   559.0   762.6  3911.6 25541.8 36089.0   6573.8     6561
read      498.4   762.6   160.7   208.0   223.5   392.3   505.8   562.2   602.7   653.9   742.3   921.9  2370.7  8970.7 31270.2  22574.0    22532
read      414.6   349.7   148.8   211.1   226.4   352.1   438.2   494.3   537.1   589.1   651.2   744.4  1323.8  2676.0 12189.9  60622.6    60653
read      398.8   231.3   160.7   210.5   225.8   349.3   433.2   488.3   530.5   580.4   635.7   711.0   936.5  1799.3  8666.8  59138.2    59076
read      418.9   282.6   160.7   210.5   225.6   355.4   439.0   495.0   539.1   593.4   656.9   756.6  1476.7  2741.4  6291.5  60252.0    60154
read      485.3   627.7   160.7   208.2   223.8   394.5   513.8   574.6   616.4   667.3   743.6   910.8  1878.3  8206.8 30836.3  23018.4    22964
read      507.7   924.5   160.7   224.9   245.6   392.3   448.6   479.7   504.1   538.0   589.6   795.4  3708.5  9683.8 35723.4   8299.8     8172
read      496.2   724.3   160.7   206.6   222.0   383.0   500.4   566.1   614.6   679.4   789.6   954.0  2081.7  8063.3 31206.7  27500.6    27652
read      417.1   346.2   160.7   205.8   221.0   360.6   452.0   505.1   544.2   590.3   647.9   740.1  1266.9  2612.1 12392.8  37653.2    37594
read      487.9   723.9   148.8   206.4   222.4   392.7   502.8   562.8   607.1   662.8   746.8   929.6  1872.9  6317.6 32367.7  24339.6    24367
read      424.5   272.2   160.7   206.4   221.5   359.2   466.4   530.3   574.4   621.3   675.4   766.1  1300.9  2965.1  7546.3  33899.6    33771
read      407.5   350.8   160.7   211.7   228.3   357.9   430.7   474.1   508.2   550.7   610.6   711.7  1090.8  3865.6 12384.0  84903.0    84944
read      427.3   397.9   148.8   212.6   229.8   364.8   440.3   487.0   523.5   570.5   634.2   763.5  1625.8  3826.5 12172.1  85766.2    85666
read      418.0   265.4   160.7   209.3   224.7   358.5   445.7   501.8   546.3   600.9   665.5   763.1  1315.3  2517.7  8687.3  51898.8    51918
read      427.7   406.6   148.8   206.1   221.2   359.2   462.5   523.2   564.7   610.9   664.4   748.4  1312.1  6131.5 11892.0  34454.2    34406
read      462.5   638.8   160.7   206.2   221.4   368.9   485.3   545.9   588.7   635.6   699.1   865.9  1543.8  8037.8 31120.2  28806.8    28664
read      434.4   361.7   160.7   207.5   222.9   361.1   460.5   524.3   571.7   624.5   685.7   807.2  1429.3  4176.8  8670.2  38424.6    38289
read      532.0  1039.6   160.7   209.0   225.2   402.8   510.3   567.3   609.4   661.6   744.1   940.3  3281.4 13875.2 35984.2  20671.6    20658
read      539.2  1158.3   160.7   215.4   231.4   404.7   484.3   526.7   558.8   603.4   668.6   847.7  3728.4 15412.1 40289.5  13796.8    13840
read      440.4   385.2   148.8   220.6   239.6   378.1   451.2   497.4   534.3   581.4   647.8   777.8  1684.1  3902.4 11680.1  93413.4    93419
read      477.3   425.8   148.8   229.9   254.9   416.4   501.3   557.1   602.3   660.0   737.9   861.3  1203.0  4875.3 12886.7  98486.8    98284
read      426.7   342.0   160.7   214.6   230.7   359.5   437.1   488.3   528.4   580.0   647.6   774.8  1642.4  3649.7  9751.1  71217.8    71313
read      422.0   320.7   148.8   207.3   222.6   355.5   450.4   515.4   564.9   617.9   674.7   760.6  1305.0  2634.1  9459.5  41935.4    42089
read      422.7   347.8   148.8   208.9   224.4   359.0   448.5   507.2   553.2   608.6   669.7   759.8  1340.4  2834.5 10230.4  46653.2    46458
read      451.4   695.2   160.7   206.7   221.8   356.6   475.5   542.3   586.7   630.3   681.2   792.5  1471.3  7903.4 33065.1  30752.8    30755
read      419.5   289.1   160.7   206.5   221.5   348.3   443.3   510.8   562.0   616.0   673.0   770.8  1352.3  3555.7  8398.8  42823.0    42889
read      441.0   412.9   148.8   220.5   239.7   382.8   457.2   503.6   540.2   586.2   650.5   774.9  1544.1  4093.7 13972.3  93833.8    93552
read      415.7   313.8   148.8   209.6   225.2   353.6   431.5   482.3   522.5   574.4   640.4   752.4  1521.8  2844.9  9335.1  65802.0    65694
read      462.1   645.8   160.7   206.5   221.7   362.9   482.2   546.1   590.8   635.6   691.4   830.6  1612.3  8044.0 29492.8  29483.8    29574
