Random waveform, supplied seed
Total number of intervals = 86 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889)
Average QPS expected = 51752
Timestamp start: 1715011971759
Timestamp end: 1715012827255

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      428.1   432.9   173.5   229.2   250.1   388.6   445.1   474.9   497.4   522.9   552.9   605.8  1409.0  5950.1 13855.9   7451.0     7434
read      390.6   240.4   148.8   209.0   224.0   340.0   416.6   465.1   503.5   550.5   610.4   698.8  1023.4  2255.9  8701.1  67096.0    67201
read      382.6   213.4   148.8   209.7   225.2   342.8   410.7   452.7   485.1   526.7   581.9   669.4   902.0  2201.7  7804.1  85893.5    85927
read      388.4   224.7   148.8   207.9   222.9   340.6   419.1   468.4   507.7   555.6   613.2   692.4   916.6  2004.1  7741.1  63884.3    63953
read      464.5   587.1   148.8   206.5   221.8   365.3   482.8   550.6   595.9   649.8   729.8   915.4  1602.2  6683.2 30520.1  31620.0    31595
read      387.0   255.4   148.8   212.4   228.1   347.3   415.5   456.8   488.1   527.5   580.0   664.4   917.7  2466.8  8301.7  87755.0    87879
read      522.7  1399.3   160.7   226.1   247.6   371.8   422.8   450.0   468.7   497.8   542.0   732.7  3977.4 30129.5 37581.9   7270.0     7287
read      415.8   315.4   148.8   208.5   223.7   347.4   427.0   479.4   523.8   578.3   644.7   762.9  1567.9  3036.1  9610.2  62234.9    62295
read      508.5  1327.7   160.7   228.5   251.0   366.7   415.2   442.1   462.9   491.6   538.8   835.1  3471.6 27462.9 48486.1   6540.8     6561
read      493.0   738.1   160.7   208.0   223.3   390.3   501.6   560.5   602.6   657.9   743.7   923.0  2283.6  8306.5 31730.2  22592.0    22532
read      414.3   354.7   148.8   207.8   222.6   345.6   425.1   477.5   521.9   576.5   641.9   754.9  1527.7  3412.7 10289.8  60686.3    60653
read      413.6   332.8   148.8   207.8   222.8   347.8   428.3   479.9   524.1   577.9   642.8   749.0  1495.7  3284.3  7908.6  59029.2    59076
read      414.5   321.5   148.8   208.4   223.3   348.6   429.7   481.5   525.7   579.0   643.2   750.3  1525.5  3078.9  8300.2  60278.9    60154
read      483.7   761.1   148.8   207.2   222.5   381.6   490.7   547.8   587.9   636.8   719.6   884.1  2359.6  7843.1 32186.8  22862.3    22964
read      523.8  1278.8   160.7   222.7   242.7   376.1   432.0   461.0   483.8   514.3   562.9   762.7  4200.6 24554.6 36961.5   8162.7     8172
read      472.1   648.2   148.8   205.7   220.7   367.6   486.6   550.8   594.3   650.7   742.3   934.2  1767.1  6639.4 31527.5  27617.2    27652
read      410.3   295.4   148.8   204.9   219.5   344.1   441.5   505.5   552.8   600.4   654.7   735.5  1262.3  2876.4  9810.3  37736.8    37594
read      485.3   744.3   148.8   207.3   222.6   382.6   496.4   556.6   597.4   647.9   731.2   903.0  1878.3  9135.1 31721.6  24323.3    24367
read      411.1   295.5   148.8   204.7   219.2   345.7   449.1   513.6   557.1   602.2   652.5   731.9  1229.9  2602.8  8612.8  33725.3    33771
read      412.7   376.4   148.8   210.5   226.6   353.2   424.2   467.3   502.2   545.9   608.0   718.8  1602.8  3792.2 13660.6  84959.4    84944
read      391.4   291.6   148.8   210.0   225.6   346.0   415.8   458.3   491.1   532.8   588.1   677.8   979.9  3166.1  7967.7  85678.5    85666
read      421.2   468.0   148.8   206.1   220.8   344.9   429.8   486.3   533.0   588.2   651.7   748.9  1547.9  5266.2 17095.5  51927.9    51918
read      421.3   452.1   148.8   203.2   216.9   340.7   448.9   514.8   560.7   607.1   660.1   752.4  1340.6  4621.5 19892.1  34397.6    34406
read      461.1   549.9   148.8   205.2   220.2   364.7   485.1   549.6   591.9   640.7   727.3   909.6  1658.3  6076.7 29080.2  28639.1    28664
read      409.9   405.2   148.8   203.2   216.9   339.0   436.2   500.1   547.0   595.1   646.9   727.0  1259.7  4153.6 14672.9  38216.8    38289
read      478.3   700.7   148.8   208.4   224.3   396.5   497.1   551.1   590.8   640.6   716.7   858.5  1802.4  6857.9 31219.2  20666.9    20658
read      548.0  1315.9   160.7   212.7   229.5   400.7   483.5   531.2   567.1   611.8   673.3   796.2  4428.7 28743.3 35747.2  13906.2    13840
read      530.6   726.9   148.8   222.2   244.7   402.6   482.5   539.2   587.4   656.4   786.4  1507.3  2043.5  8772.7 31819.9  93295.3    93419
read      419.8   539.4   148.8   213.5   230.8   358.9   427.0   468.3   501.7   543.6   603.2   714.1  1266.8  6376.4 30087.0  98376.4    98284
read      413.4   468.9   148.8   209.4   224.9   342.9   416.8   464.9   504.1   554.1   620.6   726.4  1568.5  5344.5 17447.1  71287.4    71313
read      409.7   456.2   148.8   204.2   218.8   336.2   427.4   490.0   538.1   589.3   640.2   718.2  1227.5  5912.5 16251.0  42047.8    42089
read      400.0   305.2   148.8   204.0   218.1   335.9   421.1   481.1   530.8   585.1   641.0   721.0  1237.4  2950.4 10382.3  46477.3    46458
read      478.0   656.1   148.8   205.3   220.1   359.9   484.7   555.2   602.6   660.4   760.2   981.4  1958.2  7236.3 31166.6  30778.1    30755
read      412.2   415.8   148.8   204.2   218.5   340.9   431.5   494.0   541.8   593.8   648.0   727.4  1299.5  5338.3 14421.2  42730.7    42889
read      420.3   617.0   148.8   211.3   227.9   352.0   419.7   461.5   494.6   536.8   594.8   703.8  1497.2  7942.7 31019.9  93573.1    93552
read      400.1   344.3   148.8   205.9   220.4   335.6   409.1   460.0   500.7   553.5   620.2   721.1  1463.0  3435.2  9641.1  65697.1    65694
read      460.4   601.3   160.7   205.3   220.2   357.9   478.8   543.8   587.7   635.5   710.3   905.8  1694.3  6828.7 30458.4  29577.4    29574
read      403.9   356.6   148.8   204.7   218.9   338.4   419.7   475.2   523.2   578.3   637.4   727.0  1284.5  3915.7 10100.7  51411.8    51355
read      406.7   400.5   148.8   206.4   220.9   339.8   414.5   462.9   502.2   554.0   620.6   727.2  1558.2  4151.1 12183.7  67417.7    67361
read      510.3   976.2   160.7   210.7   226.3   392.8   478.1   524.1   557.8   604.9   682.4   843.0  3278.1 11161.1 32466.9  16331.4    16287
read      437.2   499.3   148.8   209.5   225.4   353.1   426.1   470.3   507.2   555.8   626.4   804.0  1867.8  5307.5 19909.1  81545.8    81508
read      410.6   478.1   148.8   209.9   225.7   349.5   418.1   460.9   494.7   537.6   595.4   700.5  1522.9  5874.1 17296.8  87647.7    87619
read      426.7   507.9   148.8   215.4   233.1   364.9   433.0   476.0   511.0   556.1   621.0   736.5  1412.3  5690.2 28719.0  99135.8    99068
read      393.8   339.0   148.8   203.3   217.0   333.1   411.2   465.3   510.3   564.5   623.1   700.5  1190.9  3443.4 11030.1  51210.3    51267
read      495.6   963.4   160.7   216.0   232.0   391.1   460.4   497.9   528.7   569.3   629.9   774.4  3110.3  9209.9 35174.9  11861.3    11822
read      410.1   406.5   148.8   209.7   227.8   357.9   426.4   468.0   501.6   543.8   604.1   713.1  1136.1  4625.6 15295.1  97564.1    97494
read      426.6   349.8   148.8   212.5   231.1   366.4   436.0   480.6   516.6   563.8   632.0   773.4  1635.3  3456.9  9167.4  97276.2    97350
read      385.5   260.1   148.8   202.3   215.9   329.9   403.9   456.6   499.0   551.7   611.9   688.6  1149.7  2944.4  7675.9  55524.7    55460
read      385.6   303.0   148.8   204.0   218.7   330.1   393.9   434.2   466.1   508.0   568.7   671.8  1566.0  2854.7  9149.9  85635.5    85984
read      389.9   289.8   148.8   204.5   219.2   333.5   400.9   445.0   478.8   523.9   585.3   691.0  1483.5  2954.4  8024.3  82096.3    82043
read      391.4   297.5   148.8   203.7   217.9   333.7   411.7   465.4   509.1   563.7   622.2   701.3  1136.3  2522.5  9645.8  52789.9    52873
read      508.1   975.4   160.7   214.3   230.6   398.6   473.4   516.4   549.1   592.8   660.5   798.8  3270.6 10020.7 35193.9  13807.2    13911
read      394.1   327.2   148.8   203.1   216.8   333.2   413.2   468.9   515.5   569.5   627.3   703.8  1162.8  3180.2 10592.9  50027.6    49984
read      489.5  1025.7   160.7   220.8   238.8   383.0   442.9   471.6   498.8   533.3   583.0   702.4  3082.6 13286.6 37244.3   9231.2     9274
read      478.0   636.4   160.7   204.4   219.4   370.8   491.1   552.8   596.6   653.0   750.5   946.9  2134.4  6441.5 30046.0  27154.7    27187
read      516.6   899.2   148.8   207.9   223.6   401.9   497.6   550.0   590.7   644.6   725.9   868.0  3169.3  9373.9 32402.9  18712.4    18735
read      408.4   344.0   148.8   206.5   221.9   340.6   406.3   447.9   480.3   525.1   590.7   736.2  1711.1  3116.0 10051.5  86487.7    86505
read      391.9   304.3   148.8   207.4   223.3   341.1   405.1   446.1   476.5   516.0   572.8   670.7  1512.4  2985.5  9123.4  92894.7    93039
read      387.1   267.8   148.8   205.4   219.9   332.1   400.4   446.2   482.0   529.7   592.7   690.5  1378.1  2573.1  7003.9  75814.6    75999
read      464.0   563.7   148.8   204.1   218.8   354.2   477.9   547.8   595.0   652.7   751.4   971.3  1661.6  6599.5 27814.0  32306.2    32324
read      390.8   329.4   148.8   207.7   223.2   335.9   400.2   442.4   474.2   518.8   581.2   685.5  1452.5  2917.2 13806.5  84207.6    84255
read      387.6   318.1   148.8   206.6   221.5   331.2   395.9   438.6   472.2   518.0   581.8   681.0  1440.6  3233.8 11336.1  81800.3    81759
read      395.7   330.8   148.8   200.0   213.5   327.4   428.0   493.4   539.8   586.8   633.8   704.2  1128.8  2757.2 12285.5  37223.6    37291
