Random waveform, supplied seed
Total number of intervals = 172 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215)
Average QPS expected = 49626
Timestamp start: 1715008731892
Timestamp end: 1715009592476

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      423.6   396.3   173.5   233.1   254.5   383.8   435.4   465.9   488.6   514.1   546.8   610.4  1488.6  4396.4 15526.5   7405.0     7434
read      388.1   261.6   148.8   205.5   220.1   332.1   406.5   458.3   498.2   545.4   608.5   711.7  1150.8  2236.6  7305.4  66963.0    67201
read      385.4   294.4   148.8   205.9   221.4   337.8   404.5   449.0   483.4   526.4   585.0   681.2   974.3  3194.5  8111.8  85815.4    85927
read      381.3   224.3   148.8   204.1   218.4   332.7   408.4   458.5   495.9   539.4   594.3   685.3   972.8  1971.4  8330.8  63645.4    63953
read      436.8   391.0   148.8   204.7   219.6   362.2   475.0   536.5   579.8   631.5   700.3   848.0  1346.5  3975.7  9303.0  31625.4    31595
read      373.8   209.0   148.8   206.4   221.8   334.1   399.5   441.6   474.5   516.0   572.3   658.3   866.9  1729.1  8004.4  87813.0    87879
read      413.3   391.7   160.7   227.4   250.5   382.7   428.7   457.5   478.2   503.0   536.1   589.1  1147.6  5749.4 15902.4   7220.8     7287
read      386.2   231.7   148.8   205.4   220.1   334.9   411.4   462.6   503.1   549.4   611.8   695.5   998.6  2026.6  6329.7  62432.8    62295
read      447.0  1019.6   160.7   226.4   250.2   372.8   414.5   438.6   458.4   481.4   511.8   575.2  1667.8 14296.4 39314.4   6551.0     6561
read      489.0   709.9   148.8   205.8   221.6   390.5   501.4   557.9   601.0   654.2   727.2   885.8  2358.3  7725.3 31881.2  22405.4    22532
read      393.2   236.6   148.8   206.0   220.7   336.8   418.8   473.8   515.9   564.6   626.6   722.2  1087.8  2180.2  6329.9  60742.0    60653
