Random waveform, supplied seed
Total number of intervals = 81 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016)
Average QPS expected = 52097
Timestamp start: 1714499983728
Timestamp end: 1714500786223

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      406.6   528.1   173.5   243.0   263.0   377.4   413.3   431.3   444.8   460.5   480.5   516.6   804.6  7612.6 24281.5   7411.4     7434
read      422.4   405.5   160.7   220.9   236.6   358.3   431.0   476.5   511.9   556.4   617.4   738.8  1556.8  4249.9 12643.5  67255.7    67201
read      441.0   436.7   160.7   221.9   238.7   365.9   432.2   472.7   506.4   550.3   621.8   838.8  1810.7  4339.7 13458.1  85928.4    85927
read      417.0   368.0   160.7   219.4   233.7   350.2   423.6   470.7   509.0   556.3   618.8   742.1  1554.3  3515.5 10203.2  63918.6    63953
read      423.9   388.7   160.7   221.3   236.2   357.2   467.6   520.0   553.0   588.3   632.6   719.5  1174.4  4224.2 13040.3  31638.6    31595
read      430.3   381.0   160.7   222.5   239.4   362.5   426.9   466.0   498.2   539.9   602.0   762.4  1750.4  4502.1 10021.1  87742.7    87879
read      422.8   600.1   173.5   234.8   255.1   385.4   434.8   460.4   477.7   498.0   523.9   566.3  1263.1  5942.9 29874.6   7323.3     7287
read      415.9   354.2   160.7   219.5   233.8   349.8   424.3   472.1   511.6   559.7   621.0   740.2  1509.3  3391.4 11064.7  62103.6    62295
read      422.6   662.8   173.5   236.6   257.4   376.5   421.6   445.2   461.5   480.6   504.8   547.4  1504.3  8388.9 32199.2   6539.7     6561
read      472.1   373.4   160.7   223.9   241.5   422.0   518.3   579.1   627.1   681.3   741.8   826.4  1089.2  5114.4 13039.0  22642.4    22532
read      396.7   233.5   160.7   221.5   236.9   357.8   434.3   478.8   511.3   549.4   595.3   669.4   881.1  1872.6  7613.6  60689.6    60653
read      393.7   213.0   160.7   221.5   236.8   357.2   431.4   474.9   507.7   546.2   591.2   658.0   844.5  1690.4  7678.2  59056.2    59076
read      395.1   228.8   160.7   221.2   236.4   354.5   430.8   476.0   510.0   549.1   595.4   667.5   864.7  1796.0  9597.7  60063.7    60154
read      473.3   490.2   160.7   226.4   245.0   416.0   510.4   563.8   603.3   651.7   714.4   816.1  1228.7  6007.3 23973.9  22929.3    22964
read      778.6  2484.0   173.5   234.5   254.5   405.7   466.2   497.6   520.2   546.5   586.6   841.2 12418.1 32235.7 46398.8   8141.3     8172
read      501.5   776.1   160.7   223.8   240.1   394.7   500.1   552.8   590.8   640.2   730.3   919.5  2228.9 10648.5 30845.8  27630.0    27652
read      407.1   278.3   160.7   220.8   235.5   350.0   444.7   500.8   537.8   577.1   621.8   685.0  1035.0  2647.8  9800.1  37541.3    37594
read      513.6   699.7   160.7   225.2   242.4   416.2   518.8   573.1   616.2   676.9   769.7   927.4  2418.5  9706.6 30705.5  24363.2    24367
read      411.9   314.0   160.7   220.8   235.2   352.0   454.7   508.7   543.2   579.7   622.3   686.1  1071.4  3514.2 10937.0  33664.5    33771
read      407.4   370.8   160.7   221.9   237.8   359.4   425.7   464.4   495.0   532.9   584.7   677.3  1324.1  3838.3 13363.4  84973.0    84944
read      404.2   309.8   160.7   221.7   237.6   359.8   426.0   464.5   494.4   531.4   582.5   674.3  1246.9  3294.2  9140.0  85529.4    85666
read      407.3   244.0   160.7   221.2   236.4   357.1   434.6   484.8   523.4   568.9   623.3   703.6  1122.0  2485.9  7922.3  51956.2    51918
read      409.6   321.7   160.7   220.8   235.4   351.1   451.4   506.2   541.3   578.3   621.2   683.2  1006.2  3653.1 10553.3  34437.0    34406
read      478.8   656.4   160.7   223.4   239.2   385.5   493.9   546.4   583.0   628.7   704.5   885.3  1727.8  7871.6 31055.3  28584.7    28664
