Random waveform, supplied seed
Total number of intervals = 167 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491)
Average QPS expected = 49518
Timestamp start: 1714496727982
Timestamp end: 1714497560524

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      408.2   518.9   173.5   245.1   265.4   378.4   413.9   431.5   444.8   460.4   480.1   514.8  1233.1  5916.9 19404.9   7437.0     7434
read      402.6   298.6   160.7   221.4   236.6   355.0   427.6   470.1   503.0   542.5   592.2   679.9  1119.6  3246.1  8100.7  66936.0    67201
read      442.7   484.6   160.7   223.2   239.9   366.9   434.6   477.7   512.2   557.7   629.6   826.3  1770.9  6213.8 12733.4  85907.2    85927
read      420.2   374.7   160.7   219.7   234.0   346.3   421.1   470.1   510.8   562.6   630.5   786.4  1601.1  3961.6 11078.7  63950.4    63953
read      511.3   609.7   160.7   224.6   242.1   428.3   539.3   603.5   656.9   729.1   823.8   969.0  1495.7  7116.8 28850.0  31610.0    31595
read      500.6   602.7   160.7   224.8   243.2   388.4   460.8   506.7   545.9   602.8   718.4  1368.1  2029.6  7942.8 18989.4  87922.0    87879
read      420.2   419.6   173.5   241.3   262.1   394.8   440.3   464.1   481.0   500.3   526.5   570.8  1033.3  5846.5 16771.6   7229.6     7287
read      415.7   292.6   160.7   218.9   233.3   346.5   423.1   474.0   514.7   564.6   630.5   768.1  1547.8  3038.8  7954.4  62290.0    62295
read      441.2   850.3   173.5   239.0   259.8   382.7   428.8   453.2   469.4   491.9   519.1   565.7  1718.7 12091.4 31993.7   6606.4     6561
read      499.0   557.7   160.7   227.4   245.4   425.1   518.0   569.1   611.8   674.8   760.6   906.1  2047.2  5795.3 24583.9  22582.8    22532
read      414.9   316.8   160.7   218.6   232.3   345.4   422.4   472.9   514.3   563.2   625.3   752.9  1579.8  2770.0 10585.4  60326.0    60653
read      428.0   437.9   160.7   221.3   236.0   351.5   431.0   482.8   523.6   573.1   638.2   786.3  1594.1  3995.6 15654.4  59065.6    59076
read      407.7   277.4   160.7   218.7   232.4   344.5   421.1   471.2   511.4   559.1   618.6   728.0  1464.9  2645.3  7532.7  60012.8    60154
read      503.1   675.8   173.5   224.6   241.9   423.6   518.4   569.5   609.8   667.5   752.4   907.6  2034.4  6771.0 30843.4  23162.8    22964
read      445.2   600.4   173.5   237.4   256.6   403.2   456.2   483.3   502.0   524.8   550.5   602.3  1399.9  7893.4 30040.4   8133.8     8172
read      484.3   501.0   173.5   224.1   240.7   407.9   511.0   564.2   604.5   662.7   759.7   925.0  1632.5  5518.3 24236.3  27584.4    27652
read      406.5   276.6   160.7   217.9   231.7   347.3   446.0   500.0   534.7   570.9   613.5   684.7  1141.2  3205.7  7677.2  37662.2    37594
read      482.9   573.0   160.7   226.0   243.4   412.1   504.8   548.8   583.5   629.2   705.3   851.5  1810.0  7671.6 25680.4  24289.4    24367
read      418.5   306.7   160.7   221.9   237.1   361.0   464.9   517.4   549.6   584.5   628.1   709.4  1126.8  2545.6 12949.0  33614.4    33771
read      378.7   175.1   160.7   220.5   235.0   349.3   412.9   449.1   475.0   507.6   550.2   623.9   830.3  1507.8  5843.3  85026.6    84944
read      382.2   215.1   148.8   220.5   235.5   349.8   413.3   450.3   477.1   510.1   556.2   631.7   835.7  2038.1  5972.0  85717.8    85666
read      391.1   203.2   160.7   221.2   236.3   351.3   427.3   473.7   508.7   548.2   593.5   657.0   807.7  1705.2  8029.1  52189.6    51918
read      398.9   246.0   160.7   219.7   233.5   352.0   450.7   502.5   535.1   568.5   605.8   661.6   841.5  1729.5  9462.5  34441.4    34406
read      473.1   537.9   160.7   224.7   241.3   394.8   500.0   549.0   584.5   628.3   694.4   855.2  1701.4  6511.0 20301.9  28510.8    28664
read      401.9   211.2   160.7   221.1   236.0   356.8   449.8   500.4   533.6   569.6   612.6   680.5   880.6  1706.0  7326.4  38255.8    38289
read      471.7   331.4   160.7   224.6   243.1   432.4   524.6   582.5   628.3   678.7   735.8   812.1  1015.7  4821.0 12837.3  20492.4    20658
read      465.1   442.0   173.5   232.4   252.5   425.3   509.7   556.5   587.9   622.9   663.9   724.4  1107.8  6108.0 14707.3  13846.4    13840
read      415.1   315.8   160.7   222.0   238.0   360.0   424.1   462.3   492.5   531.2   587.5   705.4  1702.9  3115.4  8908.0  93312.8    93419
read      414.9   400.4   160.7   222.3   239.0   363.2   425.4   463.6   494.3   533.4   588.3   690.6  1511.3  4630.0 13918.2  98179.2    98284
read      410.8   306.3   160.7   221.4   236.5   355.2   426.6   469.3   503.8   546.3   605.2   707.3  1460.7  3412.4  8028.5  71304.0    71313
read      408.4   362.1   160.7   220.5   234.8   348.6   433.5   488.2   526.7   569.6   621.5   695.9  1124.9  3236.8 13305.1  41971.4    42089
read      411.0   287.3   160.7   220.4   234.8   352.8   436.8   491.0   530.4   574.6   629.6   719.5  1225.4  2426.6 11243.8  46459.2    46458
read      445.1   445.6   160.7   222.2   237.6   370.4   479.9   531.4   566.3   606.9   665.3   804.7  1363.3  5558.2 15448.4  30727.6    30755
read      400.7   279.4   160.7   220.0   234.2   344.7   429.5   484.2   522.9   565.7   616.1   687.1  1069.0  2425.5  9742.4  42722.8    42889
read      408.1   351.7   160.7   222.0   238.1   359.6   422.7   459.8   488.8   525.6   578.4   677.2  1403.1  4264.5 11578.7  93471.8    93552
read      401.3   286.0   160.7   220.2   234.5   346.8   414.8   458.4   493.4   537.7   596.2   697.9  1359.7  2772.5 11325.2  65724.4    65694
read      442.4   334.5   160.7   223.7   239.6   378.9   484.4   535.0   569.4   609.8   665.5   785.2  1397.3  4113.7 11731.8  29539.8    29574
read      407.3   266.2   160.7   220.2   234.8   349.7   428.1   479.7   519.1   565.0   621.1   707.3  1278.9  2839.4  8520.2  51318.2    51355
read      405.0   284.3   160.7   221.3   236.4   350.3   421.0   465.2   500.3   543.4   600.6   701.0  1412.6  2732.1  8610.5  67466.0    67361
read      458.3   317.2   160.7   238.4   258.5   432.5   512.9   555.1   585.5   620.7   664.2   729.5   942.1  3963.0 11474.5  16376.4    16287
read      499.8   498.4   160.7   225.8   244.0   385.2   459.5   507.4   548.4   611.0   740.3  1545.8  1996.2  3632.2 16011.1  81589.2    81508
read      412.2   368.7   160.7   222.1   237.7   358.5   424.0   463.2   494.4   533.7   588.7   696.8  1572.8  3865.0 10109.3  87405.2    87619
read      416.7   394.8   160.7   224.4   242.1   368.5   431.8   470.0   501.6   540.9   594.9   694.0  1178.2  4709.1 12700.0  99219.2    99068
read      402.8   322.5   160.7   220.0   234.2   347.9   426.6   477.2   515.3   559.6   613.0   689.0  1072.1  2562.3 10366.0  51244.6    51267
read      667.2  1846.7   173.5   236.7   256.5   431.1   511.5   556.9   587.6   626.0   677.5   794.8  9387.3 30614.7 37582.7  11775.0    11822
read      443.7   400.2   160.7   226.8   245.7   380.2   449.1   492.2   526.9   572.5   639.8   795.3  1737.0  3978.0 13655.7  97260.6    97494
read      417.5   320.6   160.7   223.3   240.6   367.2   431.3   469.4   500.9   541.0   600.4   721.9  1514.2  3172.3 11637.7  97451.4    97350
read      408.8   365.0   160.7   220.4   234.6   348.2   423.7   471.7   510.4   556.1   613.0   699.4  1296.8  5012.7 10210.7  55457.4    55460
read      378.0   223.4   160.7   218.9   232.7   342.8   403.7   439.5   466.7   500.2   544.7   621.9   911.0  2192.6  6454.3  86057.0    85984
read      395.4   311.6   160.7   220.1   234.9   350.0   416.8   455.8   485.4   522.1   572.0   660.5  1181.8  2719.8  9683.4  81998.8    82043
read      407.1   302.9   160.7   221.2   236.1   350.4   432.6   483.8   521.0   563.5   616.4   699.6  1141.0  3285.8  9789.0  52771.0    52873
read      644.5  1729.6   173.5   235.9   255.4   430.1   518.7   570.0   606.5   647.7   697.9   799.1  8075.3 30539.8 37934.5  14013.8    13911
read      467.7   496.4   160.7   222.8   239.1   367.6   464.7   529.1   577.0   636.1   739.5   988.9  1706.9  5702.6 13707.9  49936.8    49984
read      651.6  1941.3   173.5   237.4   255.9   412.2   476.4   510.0   533.9   561.6   600.1   689.1  8664.9 31775.2 38985.8   9233.4     9274
read      498.6   709.2   160.7   225.7   242.4   407.7   511.8   563.6   601.1   655.4   754.5   942.5  1754.8  9261.6 31006.8  27193.6    27187
read      647.1  1616.6   160.7   230.4   250.6   443.3   539.1   600.5   648.7   703.8   768.8   883.0  7838.7 30407.1 37342.9  18757.2    18735
read      403.2   322.1   160.7   219.7   234.2   348.5   413.4   452.2   481.6   519.2   572.9   672.7  1651.9  3224.3 10043.0  86846.4    86505
read      382.9   234.3   160.7   221.3   236.9   349.5   410.3   445.4   471.2   504.4   548.5   625.3   855.4  2674.5  7813.2  92976.0    93039
read      374.7   253.3   160.7   216.5   230.1   338.1   404.4   443.9   472.1   507.0   550.4   618.7   799.1  2469.5  9342.5  76147.8    75999
read      426.8   392.1   160.7   220.7   235.6   362.1   469.7   520.6   551.7   584.8   627.6   708.4  1101.2  5667.3 13928.8  32352.6    32324
read      395.6   388.1   160.7   218.7   232.6   344.1   408.7   447.7   477.0   514.4   567.2   658.0  1210.1  4628.2 10125.1  84358.2    84255
