Random waveform, supplied seed
Total number of intervals = 88 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898)
Average QPS expected = 52198
Timestamp start: 1714500926921
Timestamp end: 1714501807399

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      409.8   388.1   173.5   241.1   261.8   388.1   429.3   451.5   466.3   486.2   509.3   553.8   886.5  4923.1 17117.4   7396.4     7434
read      411.6   330.4   160.7   220.8   235.9   351.4   423.7   468.4   504.4   547.9   607.4   721.7  1458.7  3194.6  9497.5  66916.6    67201
read      428.0   438.8   160.7   221.2   237.2   357.9   422.1   461.6   493.5   534.5   593.1   744.0  1788.1  4345.0 15367.4  85977.4    85927
read      413.1   331.3   160.7   219.7   234.2   347.9   419.4   465.5   503.8   551.7   614.4   735.3  1522.8  3567.3  9850.5  64010.2    63953
read      426.3   471.8   160.7   220.9   235.8   354.2   466.1   517.4   548.9   582.6   624.4   699.8  1168.1  5355.6 17710.7  31604.8    31595
read      417.4   370.4   160.7   221.3   237.3   355.2   417.6   455.4   484.8   522.9   578.7   699.5  1714.0  3856.9 10747.9  87709.5    87879
read      436.3   682.2   173.5   235.6   256.0   389.0   440.5   465.7   483.9   503.9   531.7   578.5  1662.6  7949.1 31506.3   7267.5     7287
read      407.0   330.6   160.7   220.3   235.2   349.2   423.0   469.3   506.5   551.2   607.4   698.6  1335.1  2968.2 10242.0  62173.9    62295
read      429.7   603.7   173.5   237.3   259.1   382.1   427.7   451.8   467.6   488.3   511.7   562.1  1591.8  8050.4 28382.5   6553.3     6561
read      490.2   569.8   160.7   225.5   243.2   422.0   516.4   571.4   615.4   671.3   739.8   852.3  1612.7  6094.1 28083.5  22464.2    22532
read      392.3   242.1   160.7   221.1   236.1   351.4   425.0   468.2   501.1   539.5   586.1   658.3   904.9  1790.6  9797.8  60579.9    60653
read      390.2   234.1   160.7   220.1   234.7   350.4   424.7   468.7   502.7   541.8   587.3   652.4   837.4  1884.1  9284.4  59054.6    59076
read      390.3   219.6   148.8   220.8   235.5   352.2   425.8   469.1   502.4   540.8   586.6   653.1   840.7  1743.8  7641.9  60073.3    60154
read      473.0   392.6   160.7   228.6   247.7   424.9   517.8   571.5   613.6   663.3   723.3   808.5  1177.5  4950.4 15919.9  23069.7    22964
read      784.7  2593.2   173.5   235.9   256.0   408.1   470.2   502.6   526.1   551.8   592.1   790.2 11991.0 36888.8 49513.4   8195.6     8172
read      504.5   814.3   160.7   224.7   241.4   398.8   504.6   556.7   593.1   643.6   740.0   933.8  2147.2 10075.0 35778.3  27590.4    27652
