Random waveform, supplied seed
Total number of intervals = 161 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224)
Average QPS expected = 49274
Timestamp start: 1714497973367
Timestamp end: 1714498775911

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      433.1   711.6   173.5   239.9   259.6   390.6   437.6   462.3   479.6   500.0   527.4   573.3  1044.8  9589.3 36215.6   7347.8     7434
read      399.9   284.8   160.7   218.6   232.2   339.9   409.8   456.5   493.2   537.8   594.2   704.1  1425.4  2876.3  9439.4  67076.4    67201
read      417.9   567.9   160.7   217.2   231.3   341.9   400.2   435.7   465.5   504.9   563.3   685.5  1791.8  5972.6 29723.6  85754.8    85927
read      402.7   401.7   160.7   216.0   229.3   331.5   397.5   443.3   482.0   530.3   589.8   693.0  1527.5  4915.3 10334.4  63801.6    63953
read      519.6   786.5   160.7   221.7   238.3   416.9   525.4   590.6   647.9   719.3   803.4   950.2  1952.8 10426.2 31846.5  31564.2    31595
read      496.6   617.0   160.7   221.5   238.3   377.6   439.8   477.6   510.5   564.4   678.8  1543.5  2055.5  7093.7 24663.1  87625.6    87879
read      419.0   579.6   173.5   236.0   255.9   382.3   427.8   452.0   468.0   489.2   513.8   559.3  1190.3  7795.8 30769.5   7283.4     7287
read      403.7   305.6   160.7   216.1   229.7   335.6   404.0   454.2   496.1   547.2   613.4   745.2  1506.6  3007.7  9556.7  62335.8    62295
read      440.4   745.1   173.5   236.1   257.0   375.7   422.5   447.1   464.4   486.2   513.3   586.1  1940.1  7618.1 34747.1   6582.8     6561
read      496.4   909.5   160.7   223.2   239.7   415.9   508.3   561.3   604.1   666.4   745.8   873.7  1976.9  6387.8 31678.9  22315.8    22532
read      400.6   273.8   160.7   215.0   228.7   335.2   405.4   457.0   498.6   548.1   611.7   739.4  1421.9  2588.1  7976.3  60642.0    60653
read      390.9   374.0   160.7   215.2   228.4   330.9   397.5   444.3   482.2   528.3   583.4   666.7  1241.0  5372.5 12411.3  58986.0    59076
read      389.8   316.1   160.7   214.9   228.3   330.8   398.9   446.2   485.0   532.6   588.8   677.6  1259.7  3151.5  9869.3  60082.4    60154
read      477.9   522.9   160.7   220.7   236.7   411.4   503.6   551.2   588.1   641.1   716.3   839.3  1941.5  5356.7 21768.4  22895.4    22964
read      452.7   742.2   173.5   232.9   252.2   395.1   451.6   480.2   500.1   523.1   549.3   602.7  1877.9  9539.8 36488.9   8180.6     8172
read      488.9   573.1   160.7   221.7   237.9   416.4   519.3   578.3   627.7   693.8   776.9   901.5  1437.8  6243.8 27539.3  27670.2    27652
read      427.6   521.5   160.7   217.8   231.5   350.3   452.7   509.1   545.7   584.7   635.3   746.5  1275.2  6022.7 21627.9  37714.8    37594
read      475.2   517.0   160.7   225.6   242.4   409.0   503.7   551.1   588.8   642.7   727.4   866.3  1599.6  5376.2 29184.5  24343.0    24367
read      408.6   258.0   160.7   220.1   234.2   352.3   454.2   505.8   538.2   572.8   615.2   691.5  1052.3  2606.9  8042.7  33839.8    33771
read      372.4   184.9   160.7   218.0   231.3   337.6   399.8   436.5   465.1   499.5   544.2   620.3   854.6  1944.3  5488.0  85004.4    84944
read      370.4   234.6   160.7   218.3   231.5   337.0   399.1   434.6   461.9   495.4   539.6   610.6   799.2  1748.1  9195.5  85668.4    85666
read      383.2   197.6   160.7   219.3   232.7   343.3   416.6   463.7   499.2   539.4   585.2   645.7   791.7  1684.6  7736.1  52011.2    51918
read      395.7   258.2   160.7   219.9   233.8   345.2   441.9   494.3   527.2   561.2   598.7   656.1   836.2  2401.6  9687.0  34433.8    34406
read      473.5   581.3   160.7   222.9   238.9   390.9   493.8   544.6   582.7   634.4   727.7   886.7  1633.5  7302.2 29302.7  28554.8    28664
read      397.5   229.5   160.7   220.2   234.7   346.5   440.4   495.4   530.5   566.6   606.9   667.0   901.6  2030.6  9475.4  38206.6    38289
read      470.9   475.7   160.7   223.6   241.9   419.2   511.1   563.1   599.8   644.3   700.1   789.1  1262.3  5325.6 23307.9  20675.8    20658
read      468.5   611.4   173.5   229.2   247.8   415.6   500.5   544.5   574.5   608.2   650.2   717.4  1454.8  6723.9 35978.1  13936.6    13840
read      424.2   432.2   160.7   221.5   237.4   359.6   420.5   457.8   488.0   528.8   590.3   737.4  1757.6  4250.6 12415.3  93603.4    93419
read      398.9   311.2   160.7   221.3   237.2   354.4   415.1   451.3   478.7   514.3   567.0   664.5  1305.8  3512.4 10165.1  98164.0    98284
read      393.0   302.9   160.7   218.6   231.9   338.0   400.9   440.4   473.0   516.5   575.6   675.0  1462.4  2682.4  9102.2  71338.6    71313
read      397.9   285.9   160.7   219.2   232.5   340.1   424.2   479.9   519.6   562.2   610.9   680.5  1077.0  2582.7 10102.6  41942.4    42089
read      392.9   267.0   160.7   217.7   230.8   337.2   414.8   469.2   510.0   554.8   605.6   677.7  1119.5  2176.1  9681.6  46552.4    46458
read      421.5   382.7   160.7   222.5   237.4   358.5   464.2   515.5   547.8   584.3   628.9   708.1  1166.0  4095.3 12727.7  30752.4    30755
read      395.0   270.5   160.7   217.6   230.9   338.4   419.8   475.1   515.3   559.0   607.8   677.0  1073.5  2789.1  8254.3  42939.0    42889
read      387.7   330.6   160.7   219.5   233.7   344.2   402.6   437.5   464.8   499.4   546.5   631.5  1195.5  3731.2  9294.4  93523.0    93552
read      394.9   346.1   160.7   219.0   232.3   340.4   406.7   450.7   485.7   530.4   588.2   682.9  1295.6  2696.3 12134.9  65590.6    65694
read      448.5   336.0   160.7   222.1   237.3   378.1   489.2   541.7   578.2   622.9   691.1   852.8  1400.7  4362.6 12415.5  29503.8    29574
read      398.7   244.5   160.7   218.7   232.0   343.1   417.6   468.7   508.5   556.0   612.9   696.5  1241.8  2467.5  7736.8  51347.6    51355
read      397.0   347.5   160.7   219.5   233.5   339.0   402.7   444.9   479.2   525.5   585.0   680.9  1481.3  2894.0 13295.6  67384.6    67361
read      527.9  1075.4   173.5   233.6   253.7   429.7   518.3   568.6   604.0   645.2   696.4   781.2  2117.8 13261.8 36881.0  16261.6    16287
read      421.8   383.0   160.7   220.6   235.4   350.4   414.6   453.8   485.2   527.9   591.1   755.0  1748.0  3494.0 11343.7  81557.4    81508
read      404.3   368.0   160.7   220.8   236.1   349.6   411.4   448.1   475.8   512.2   566.7   675.0  1605.4  3293.1 14329.6  87586.6    87619
read      399.7   311.3   160.7   221.2   236.8   351.1   410.2   446.0   472.6   508.4   560.0   659.2  1590.4  2813.8  9407.2  99363.4    99068
read      392.9   322.2   160.7   218.4   231.6   338.5   411.8   461.7   500.5   545.1   596.1   671.8  1088.6  2728.9 10430.7  51232.8    51267
read      717.8  2142.8   173.5   232.4   251.1   416.7   497.5   541.5   572.6   608.5   657.2   782.5 11080.8 31395.3 47825.7  11961.4    11822
read      439.5   462.7   160.7   225.6   243.7   375.4   440.0   480.1   512.1   555.0   622.4   772.3  1712.9  3890.5 15974.6  97322.8    97494
read      393.9   336.4   160.7   219.9   234.7   347.0   404.5   437.9   464.1   497.5   545.3   638.2  1540.8  3412.1 10743.2  97310.8    97350
read      389.7   261.6   148.8   218.5   231.7   337.5   406.1   454.3   492.3   537.8   591.6   669.8  1110.6  2834.5  8317.6  55451.8    55460
