Random waveform, supplied seed
Total number of intervals = 85 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908)
Average QPS expected = 52162
Timestamp start: 1714501894770
Timestamp end: 1714502740266

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      403.8   463.4   173.5   246.0   265.3   378.8   415.2   433.6   447.9   463.3   485.1   521.9   841.6  5946.4 19892.0   7397.7     7434
read      377.2   300.9   160.7   218.3   231.4   332.6   395.6   436.1   468.7   508.5   557.3   624.5   872.1  3026.8  9900.7  67131.2    67201
read      401.1   415.2   160.7   217.4   231.0   336.1   394.1   429.5   458.6   497.3   553.9   676.6  1677.4  4737.0 12328.2  85984.9    85927
read      393.7   343.7   160.7   214.9   228.3   328.7   392.5   437.1   476.3   527.1   589.1   696.6  1457.2  3097.0 10025.2  63998.0    63953
read      454.4   486.3   160.7   218.6   232.3   370.2   479.5   533.5   571.8   619.5   696.2   858.0  1592.9  5718.4 14346.4  31575.7    31595
read      401.7   453.1   148.8   216.4   230.2   337.1   394.3   428.7   456.6   493.4   546.7   666.8  1683.0  5060.3 16769.1  87784.1    87879
read      433.1   671.8   173.5   232.2   251.2   378.6   429.1   454.7   471.1   493.2   519.8   568.4  1860.0  8884.0 29593.0   7340.1     7287
read      390.4   264.8   160.7   214.4   227.8   330.0   396.8   443.7   483.7   532.9   591.5   693.4  1347.1  2749.5  8230.9  62309.8    62295
read      420.8   630.2   173.5   234.5   254.3   371.6   417.7   441.5   458.4   477.2   503.4   549.7  1539.2  8066.4 31261.5   6572.4     6561
read      460.9   368.3   160.7   223.9   241.5   413.5   506.7   566.0   610.1   658.8   713.7   789.2  1018.6  4345.2 12579.6  22459.9    22532
read      408.6   314.6   160.7   217.8   231.3   340.1   415.2   466.7   508.1   559.0   625.8   777.9  1402.6  3066.5  9770.2  60536.3    60653
read      376.0   199.9   160.7   216.9   230.3   335.2   404.1   448.8   482.1   521.8   568.5   632.7   823.9  1757.1  6659.6  59079.8    59076
read      377.7   214.2   160.7   219.3   232.6   338.2   406.9   451.5   484.9   524.3   571.4   635.5   803.8  1661.8  8945.8  60125.5    60154
read      501.4   733.2   160.7   224.1   240.7   409.5   503.8   552.3   592.0   649.8   740.3   891.8  2084.2 10345.4 31202.9  22969.1    22964
read      788.8  2635.1   173.5   231.3   250.2   394.8   456.1   487.8   508.8   536.7   577.4   875.6 12215.2 35682.6 49878.7   8173.3     8172
read      500.5   663.7   160.7   222.2   237.9   395.6   501.8   556.4   599.9   666.2   772.8   950.5  2343.0  7355.4 29374.9  27649.6    27652
read      396.8   344.9   160.7   217.6   230.7   339.0   429.8   484.7   520.6   558.5   600.6   664.6   984.5  3265.4 11210.9  37601.2    37594
read      520.2   917.1   160.7   221.9   237.4   399.8   500.3   554.4   597.2   660.7   753.2   926.4  3069.2  9976.8 35408.7  24391.1    24367
read      430.8   531.7   160.7   219.1   232.3   347.5   450.4   504.9   540.9   581.4   634.2   765.9  1374.3  5828.1 24282.5  33803.3    33771
read      391.6   332.3   160.7   216.7   230.1   337.6   397.9   433.2   461.4   497.7   548.9   650.4  1583.9  3301.5 10203.2  84918.6    84944
read      388.3   325.2   160.7   218.0   231.2   338.2   397.3   432.2   460.4   496.5   547.1   639.8  1501.6  3181.6  9562.3  85641.8    85666
read      387.7   298.9   160.7   217.0   230.2   334.7   403.8   453.9   492.8   538.2   590.3   665.0  1063.8  2503.2 11371.6  51896.8    51918
read      399.6   286.9   160.7   218.9   231.8   340.9   439.5   494.8   529.7   566.3   608.0   670.2   994.2  3189.6  9820.0  34410.8    34406
read      490.1   697.5   160.7   221.2   236.2   385.9   492.4   547.3   587.4   640.8   740.2   923.1  2093.5  9433.9 30900.2  28593.5    28664
read      394.1   240.6   160.7   219.1   232.2   337.6   429.3   486.7   524.2   563.2   606.9   670.1   979.1  2415.5  8911.8  38272.6    38289
read      662.7  1822.4   160.7   223.4   241.1   418.6   517.7   584.8   633.9   688.4   751.3   878.1  9231.3 30587.8 39838.0  20574.3    20658
read      700.5  2151.9   173.5   226.8   245.1   410.1   501.1   550.8   584.3   621.3   668.1   758.3 11185.6 31961.1 44361.3  13777.7    13840
read      401.6   373.9   160.7   219.7   234.2   347.5   405.5   440.2   467.4   503.4   554.4   654.1  1642.9  4365.6 10136.9  93419.7    93419
read      372.7   272.9   160.7   218.7   232.6   340.3   396.7   429.4   454.8   486.1   529.1   600.3   829.4  2732.6 10021.9  98344.2    98284
read      386.4   293.6   160.7   218.2   231.4   338.0   402.2   443.1   475.0   516.0   570.1   657.0  1140.3  2760.1 11139.0  71403.1    71313
read      390.9   281.7   160.7   217.9   231.5   337.2   422.9   480.0   518.0   557.0   600.1   664.0   944.5  2070.3  8660.3  42194.6    42089
read      394.2   309.4   160.7   218.2   231.8   340.4   421.6   475.0   513.2   553.2   598.0   666.2   963.2  2827.6 13054.1  46448.5    46458
read      478.8   646.5   160.7   220.0   234.6   375.5   485.2   540.0   579.4   632.3   731.2   913.7  2021.2  7002.4 30658.0  30816.2    30755
read      383.6   345.1   148.8   212.1   225.4   320.7   402.9   462.5   501.0   541.0   584.3   639.9   941.8  4134.5 10161.5  42817.6    42889
read      371.0   311.0   160.7   213.3   226.8   326.7   381.9   414.3   439.2   471.4   516.9   592.9  1338.2  3944.3  7874.7  93404.1    93552
read      374.9   408.0   148.8   212.6   226.0   320.8   381.2   422.4   456.8   499.9   553.3   625.4   977.4  5028.7 15807.5  65687.3    65694
read      496.4   793.3   160.7   218.3   232.1   376.4   484.2   537.5   577.4   634.2   746.4   935.3  2803.1  7521.8 32124.0  29478.7    29574
read      390.4   517.5   148.8   212.2   225.6   321.9   392.7   445.9   487.1   532.1   581.8   648.2  1097.0  7021.6 28644.5  51183.9    51355
read      373.8   438.6   160.7   212.1   225.3   320.0   379.7   420.1   453.6   496.6   549.4   622.7   979.9  5298.5 16204.6  67326.4    67361
read      592.8  1502.4   160.7   225.8   243.5   409.5   503.8   561.3   600.1   641.4   690.5   782.8  6643.9 26852.4 43195.4  16249.8    16287
read      380.9   392.0   148.8   213.1   226.6   326.1   383.7   419.2   447.9   485.2   536.8   623.8  1506.6  4650.7 12879.9  81337.6    81508
read      365.1   373.8   160.7   211.6   224.9   319.2   373.1   404.4   430.6   463.9   509.5   586.6  1156.5  3882.2 11815.5  87672.2    87619
read      365.4   341.5   148.8   213.1   226.6   323.7   375.7   405.6   429.8   460.3   502.4   577.4  1281.7  3603.0 10704.1  99100.7    99068
read      379.4   403.9   160.7   211.3   224.7   319.4   387.6   439.0   480.1   524.7   573.2   634.5   960.2  5337.4 14166.3  51221.3    51267
read      608.9  1630.2   173.5   227.9   245.9   405.6   487.9   531.0   559.3   590.3   632.2   717.2  7292.1 30446.2 37302.2  11866.5    11822
read      382.7   389.0   160.7   213.3   227.0   328.5   382.6   414.0   438.0   470.2   517.7   605.0  1618.7  4548.5 12409.8  97396.4    97494
read      374.1   433.1   160.7   214.0   227.8   328.5   382.7   414.6   438.7   469.8   513.7   586.5  1035.5  5566.5 14964.6  97339.3    97350
read      374.2   383.9   160.7   211.6   225.0   318.8   384.2   433.0   471.9   517.9   569.0   632.3   894.2  4032.8 12582.5  55484.3    55460
read      365.6   382.2   160.7   211.5   224.8   318.9   373.8   407.0   433.6   467.0   513.4   588.1  1093.2  5135.3 10313.7  85851.9    85984
read      371.4   439.5   160.7   211.6   225.1   321.1   377.5   412.0   439.1   474.9   524.4   599.2  1058.9  5428.2 19387.6  82189.8    82043
read      376.7   382.8   160.7   211.8   225.1   320.0   386.9   436.6   476.6   522.1   571.5   633.3   879.5  5077.4 11979.2  52915.9    52873
read      602.0  1567.5   160.7   227.0   245.2   411.2   502.3   553.6   587.9   626.1   674.2   768.2  6841.4 29860.6 40711.2  13942.1    13911
read      382.7   397.5   160.7   211.7   225.2   321.8   394.0   447.9   488.4   532.7   580.8   642.2  1038.9  4855.8 14464.4  50076.4    49984
read      598.2  1770.8   160.7   228.8   246.6   396.0   462.0   495.8   518.9   544.8   581.1   652.7  7098.9 31229.9 40227.5   9205.4     9274
read      513.4   871.4   160.7   219.8   234.4   389.0   493.4   547.0   589.5   654.6   763.0   944.2  3059.9 10026.1 35218.8  27307.8    27187
read      606.3  1511.1   160.7   224.8   242.8   417.7   515.0   579.4   624.2   672.5   729.7   832.6  6885.7 29236.6 40322.0  18711.3    18735
read      377.8   380.2   160.7   214.0   227.4   326.7   383.5   417.4   444.1   478.5   528.3   610.7  1461.4  4328.9 12293.9  86452.5    86505
read      369.0   353.3   160.7   213.0   226.5   323.4   376.8   408.2   433.3   465.9   510.6   587.8  1314.5  4588.7 12243.9  93069.6    93039
read      370.7   411.9   160.7   212.0   225.1   320.3   377.5   414.3   444.2   483.0   534.6   609.0   992.5  5427.8 12925.6  75943.1    75999
read      470.7   638.9   148.8   216.6   230.6   365.0   478.5   534.7   573.7   624.1   716.1   910.6  1920.5  6862.0 30472.7  32327.7    32324
read      378.8   380.6   160.7   212.6   226.1   323.1   379.4   413.0   439.5   475.4   527.6   613.0  1589.0  4307.2 11016.2  84347.9    84255
read      370.9   378.5   160.7   212.3   225.7   321.0   377.6   412.7   440.5   477.3   528.6   606.1  1172.9  4609.3 11722.6  81677.6    81759
read      398.4   422.7   160.7   215.5   228.8   328.0   424.1   482.1   518.2   554.4   593.2   654.3  1072.7  5330.4 12870.9  37375.4    37291
read      381.6   434.0   160.7   213.1   226.5   321.1   387.3   435.3   474.9   521.0   570.8   632.5   910.1  5971.0 16310.4  53814.8    53818
read      471.0   641.6   160.7   217.0   231.0   372.0   482.7   536.3   574.8   626.7   726.4   910.5  1776.6  6777.5 30995.4  30230.2    30297
read      475.2   626.0   160.7   218.0   231.7   372.6   486.6   542.2   581.0   630.6   724.4   905.7  1969.0  6916.9 30423.8  31539.8    31569
read      395.4   490.6   160.7   212.6   226.0   325.7   416.1   473.1   509.7   546.2   585.8   639.7   971.0  6061.7 20014.7  38901.4    38927
read      462.0   633.6   160.7   231.4   249.4   407.2   481.2   518.4   542.8   570.9   603.7   655.4  1732.1  7967.7 30862.7  10655.1    10652
read      357.6   208.9   160.7   213.0   226.5   324.3   377.9   408.5   432.3   462.1   502.4   571.4   890.4  1924.8  7068.7  98049.9    98119
read      381.8   208.2   160.7   214.7   228.3   336.1   413.4   465.3   502.3   542.1   586.2   650.7   867.4  1600.9  6828.6  48179.0    48176
read      410.3   268.7   160.7   219.3   233.0   359.6   463.2   513.0   545.1   581.2   628.6   718.8   936.8  2012.6 10145.4  34841.2    34929
read      366.8   225.5   160.7   215.6   228.9   330.4   393.8   433.3   464.5   502.4   547.6   608.9   742.1  1869.8  8010.7  69688.7    69735
read      394.8   273.3   160.7   222.2   237.2   374.9   462.1   493.4   512.5   532.7   554.2   586.7   662.8  2531.7 11624.1  20756.2    20753
read      354.1   197.0   160.7   214.1   227.5   325.4   383.9   418.4   444.1   475.0   515.7   575.0   688.2  1231.8  8628.4  84491.6    84642
