Total number of intervals = 161 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224)
Average QPS expected = 49274
Timestamp start: 1714498956731
Timestamp end: 1714499759257

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      405.4   373.6   173.5   242.9   262.5   383.3   421.5   441.7   456.9   472.3   499.5   542.2   835.7  5495.4 15986.1   7414.4     7434
read      407.1   369.3   160.7   222.7   238.2   359.2   433.5   476.2   508.3   546.7   594.5   679.1  1022.1  4054.6 10859.8  67122.0    67201
read      431.1   425.6   160.7   220.7   236.3   359.6   424.0   463.1   495.5   537.4   598.7   775.5  1824.3  4974.9 11962.0  85969.6    85927
read      414.8   415.1   160.7   219.7   233.9   348.3   418.4   463.3   500.9   547.4   607.6   721.9  1537.4  4177.8 13200.2  63945.2    63953
read      420.3   438.5   160.7   219.9   233.8   351.2   461.9   513.0   544.5   578.3   619.6   692.2  1193.6  5510.2 17074.7  31527.6    31595
read      438.0   558.5   160.7   222.3   238.8   364.4   429.3   468.8   501.7   543.9   609.0   785.0  1795.4  5616.4 15267.5  87983.6    87879
read      412.3   488.5   173.5   238.1   257.4   379.7   424.3   447.8   463.4   482.4   505.4   547.6  1083.1  6263.8 24545.2   7331.8     7287
read      418.5   312.8   160.7   220.8   235.8   352.3   427.1   475.8   515.9   566.0   630.6   775.7  1513.7  2797.0  7961.6  62122.4    62295
read      431.5   700.7   173.5   235.5   256.6   376.8   420.6   443.9   460.5   480.1   506.4   551.8  1604.3 10170.6 27624.1   6503.8     6561
read      472.5   317.3   160.7   223.3   240.6   425.0   521.3   580.0   626.0   679.1   740.1   833.4  1198.8  4263.9  9899.2  22521.0    22532
