Random waveform, supplied seed
Total number of intervals = 85 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908)
Average QPS expected = 52162
Timestamp start: 1715285329760
Timestamp end: 1715286175263

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      463.6  1197.2   160.7   221.1   240.1   364.2   409.1   434.1   452.9   472.7   503.8   565.2  1906.0 18715.2 38186.6   7422.7     7434
read      480.6   670.8   160.7   215.1   230.6   346.7   417.8   468.3   513.4   582.2   753.5   929.9  2154.4  8625.3 30169.2  67055.7    67201
read      384.0   222.3   160.7   214.2   229.1   347.4   411.9   451.0   480.9   518.5   569.3   657.1   915.2  2134.6  7147.3  85877.8    85927
read      378.5   209.5   160.7   210.2   224.3   342.9   411.1   452.2   482.8   519.3   566.4   644.3   870.1  1791.2  6849.5  63973.5    63953
read      387.4   257.2   160.7   213.5   227.9   349.6   427.1   470.0   498.6   529.5   567.9   635.1   869.8  2773.6  9600.9  31575.9    31595
read      368.8   192.3   160.7   211.1   225.6   337.2   398.0   433.8   462.0   496.5   542.0   619.8   834.1  1630.9  6838.8  87846.8    87879
read      935.5  3273.0   173.5   219.4   238.2   362.6   414.3   443.9   465.6   493.8   536.3  1337.4 16915.3 36909.3 40949.2   7260.1     7287
read      413.7   348.5   160.7   214.2   228.4   356.8   431.0   476.8   511.4   554.4   616.0   734.1  1441.4  3234.6 11060.6  62200.9    62295
read      699.5  2464.1   160.7   221.1   243.5   360.8   405.8   432.1   452.4   476.0   513.7   664.6 12533.1 35712.5 43945.4   6574.0     6561
read      400.8   374.6   160.7   214.5   228.4   358.1   437.2   476.8   502.9   532.6   570.7   644.3  1113.1  4546.1 13060.0  22581.3    22532
read      406.7   299.8   160.7   212.2   226.5   353.5   424.8   468.0   502.5   544.4   604.4   718.5  1453.6  2896.6 10154.5  60594.0    60653
read      421.6   341.4   160.7   214.4   228.7   362.5   436.8   483.9   520.0   565.1   630.6   765.6  1521.2  3161.4 11071.8  59026.4    59076
read      410.9   297.8   160.7   212.9   227.2   357.7   429.5   472.9   507.9   550.7   613.7   731.6  1456.9  2808.3  9916.7  60185.6    60154
read      393.9   316.7   160.7   215.2   228.9   355.2   435.0   474.9   501.5   531.2   568.4   634.9  1000.1  3082.5  9386.5  22912.7    22964
read      457.9  1057.4   160.7   226.2   247.0   379.1   428.5   455.7   474.0   498.9   532.7   594.0  1408.2 14176.7 33944.3   8179.6     8172
read      415.2   533.4   160.7   215.5   229.9   354.7   437.0   483.9   515.3   548.8   594.9   691.8  1252.5  4969.3 23543.1  27640.8    27652
read      412.6   384.0   160.7   212.4   227.0   354.1   429.1   477.9   513.5   554.3   609.5   717.5  1340.2  4644.1 11675.1  37564.4    37594
read      391.6   307.2   160.7   213.6   227.5   349.2   429.2   470.7   498.3   528.9   567.1   635.5  1032.1  3060.6 11407.3  24360.1    24367
read      401.2   252.7   160.7   214.0   228.6   356.9   431.9   478.8   511.9   548.7   596.9   683.4  1171.6  2368.5  9003.1  33789.4    33771
read      394.2   333.6   160.7   212.8   227.3   346.4   410.5   449.7   479.1   516.3   569.4   663.9  1366.6  3565.9 10529.2  84887.7    84944
read      407.0   357.3   160.7   214.7   230.0   353.9   421.7   463.2   496.3   537.7   594.8   709.2  1317.5  3814.8 12265.8  85589.2    85666
