Random waveform, supplied seed
Total number of intervals = 217 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045)
Average QPS expected = 50547
Timestamp start: 1715278466097
Timestamp end: 1715279331675

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      397.1   460.4   173.5   226.3   246.4   368.0   418.8   446.2   464.8   487.7   515.3   561.8   759.4  5063.7 30181.5   7293.0     7434
read      402.5   745.6   160.7   216.0   230.0   349.5   423.8   468.8   502.5   542.1   595.4   698.0  1275.1  2726.7  8017.1  67088.0    67201
read      395.5   554.5   160.7   217.6   232.7   353.8   421.4   462.4   494.1   532.9   585.0   677.1   995.2  2491.3  8038.8  85828.5    85927
read      384.3   476.1   160.7   211.9   225.9   342.7   414.8   457.5   489.5   527.4   576.1   660.1   916.7  2045.2 10862.4  63927.2    63953
read      388.5   266.5   160.7   214.5   229.0   353.4   431.2   473.0   500.5   530.9   569.4   638.5   843.1  1656.6 11757.3  31486.8    31595
read      369.3   207.2   160.7   212.2   226.4   335.5   397.2   434.5   463.8   499.6   545.5   626.5   833.3  1547.4  7223.5  87907.0    87879
read      387.7   330.5   173.5   225.8   245.4   359.1   407.3   434.3   453.2   472.8   501.2   543.6   771.9  6473.4 10084.8   7214.2     7287
read      392.9   265.4   160.7   212.8   226.8   346.8   420.9   465.3   498.5   537.9   589.6   686.4  1117.0  2165.2 10045.9  62044.8    62295
read      684.7  2867.4   173.5   226.1   247.3   358.5   402.9   430.8   451.7   475.4   507.3   586.1 13410.0 36234.9 54362.8   6671.8     6561
read      402.4  1216.7   160.7   217.9   232.0   361.6   436.6   471.5   495.9   523.4   557.7   630.4   923.6  3942.1 10659.5  22543.8    22532
read      396.3  1476.1   160.7   213.5   227.3   348.3   423.7   467.1   499.0   535.7   583.7   668.6   888.4  1759.5  7508.6  60619.0    60653
read      392.0  1145.8   160.7   213.7   227.7   349.5   423.8   467.1   499.1   535.8   583.1   666.2   866.2  1534.0  7937.8  59179.2    59076
read      397.1   776.4   160.7   213.9   228.0   354.3   429.8   474.9   507.8   545.1   594.0   684.7   920.9  1818.8  9226.6  60089.8    60154
read      387.7   271.3   160.7   218.5   232.4   358.6   435.5   470.6   494.6   521.1   552.3   613.6   816.5  2259.0 10992.1  22994.8    22964
read      889.7  3011.2   160.7   218.5   235.4   368.9   429.2   461.7   485.4   513.7   557.9  1231.5 15976.2 34913.5 45862.2   8163.5     8172
read      422.1   526.1   160.7   216.7   231.2   359.8   441.5   485.8   515.9   549.6   600.7   700.9  1315.6  5494.4 31034.5  27729.5    27652
read      408.0   293.1   160.7   216.3   230.6   361.4   437.2   484.5   518.6   557.5   611.7   703.1  1208.6  2404.3 10063.1  37499.8    37594
read      397.8   257.9   160.7   216.7   230.8   354.4   435.2   477.7   505.4   536.6   578.4   660.9  1128.1  2527.2 10560.7  24373.5    24367
read      414.7   287.9   160.7   217.2   231.8   367.4   445.2   491.8   525.3   565.1   620.6   715.4  1230.3  3145.6 10593.0  33781.5    33771
read      429.9   372.9   160.7   217.8   232.8   362.6   433.7   478.4   513.6   559.7   627.5   768.7  1747.7  4018.8 10248.4  85060.2    84944
read      419.1   395.0   160.7   215.8   231.2   356.8   424.5   465.9   498.6   540.0   599.4   718.6  1693.5  4754.8  9911.3  85623.0    85666
read      408.9   263.0   160.7   214.3   228.4   360.9   435.4   481.5   516.2   558.0   617.3   720.3  1327.4  2462.8  8840.8  51961.8    51918
read      412.1   354.4   160.7   215.3   230.0   360.4   439.8   487.8   521.8   560.8   614.7   710.7  1248.9  3925.8 11344.2  34441.8    34406
read      401.4   341.0   160.7   214.8   229.2   351.9   429.9   474.4   504.8   539.6   583.5   661.6  1171.6  5219.4  9809.3  28763.8    28664
read      408.6   286.9   160.7   214.9   229.4   360.8   436.0   482.6   515.6   555.3   611.0   705.5  1233.9  2923.3 10676.7  38378.5    38289
read      400.1   272.9   160.7   219.6   233.6   366.9   443.4   481.8   507.2   536.6   574.9   647.6  1043.5  1855.6  9094.0  20681.8    20658
read      497.9  1241.7   160.7   220.0   235.4   383.3   448.1   485.8   515.7   558.4   633.5   821.7  3363.4  9047.6 31748.6  13853.2    13840
read      504.7   814.6   160.7   227.8   250.2   409.8   489.0   542.3   588.3   654.6   764.6   956.5  1941.5  3808.5 15149.3  93425.5    93419
read      418.8   668.3   160.7   223.9   242.7   374.6   442.1   484.3   516.4   556.3   612.7   707.3  1006.7  3474.6 12242.2  98342.2    98284
read      432.7   449.2   160.7   218.2   233.0   363.7   437.0   484.4   520.4   565.6   630.1   753.0  1712.3  5150.9 18177.5  71383.0    71313
read      409.4   382.8   160.7   214.0   228.5   358.2   431.2   477.0   510.4   550.2   604.6   695.1  1218.1  4151.6 12521.7  42215.0    42089
read      413.4   735.3   160.7   215.6   229.7   364.6   439.0   485.3   519.6   560.7   618.8   718.5  1290.1  2560.4 10750.0  46441.0    46458
read      398.4   248.7   160.7   215.2   229.5   355.1   432.8   478.3   510.0   545.5   591.4   678.5  1125.3  1826.3 10811.4  30692.0    30755
read      406.3   325.7   160.7   214.2   228.5   359.1   431.9   477.2   510.9   550.2   607.1   704.3  1244.6  2483.3  9280.0  43036.5    42889
read      433.6   437.8   160.7   222.9   240.8   377.0   447.9   492.4   527.0   571.4   634.0   746.2  1462.9  4152.9 15993.4  93445.8    93552
read      409.7   316.7   160.7   213.9   228.1   353.6   426.2   470.8   505.2   547.5   608.6   724.0  1485.5  3308.4 10049.5  65718.2    65694
read      401.9   253.9   160.7   216.2   230.4   356.7   436.6   482.9   513.5   547.9   593.5   679.3  1173.6  2256.6  9041.8  29635.8    29574
read      415.7   414.8   160.7   214.2   228.6   360.9   433.6   479.3   513.8   555.6   615.3   723.1  1364.6  3096.2 18274.5  51259.0    51355
read      415.8   334.6   160.7   213.9   228.4   355.3   429.7   475.3   510.8   555.1   620.0   743.4  1589.0  2861.3 15176.4  67458.2    67361
read      477.6   723.8   160.7   218.3   232.9   382.8   454.7   494.0   525.1   569.3   642.5   795.3  2882.9  8983.7 31928.2  16237.0    16287
read      420.0   317.6   160.7   216.4   231.4   360.5   431.7   476.2   510.7   554.7   617.4   734.9  1685.8  3454.7  6917.6  81168.5    81508
read      411.8   325.1   160.7   215.4   230.5   354.5   421.1   462.9   496.0   537.9   598.6   717.4  1651.1  2953.5  9549.0  87623.8    87619
read      431.2   265.4   160.7   227.8   249.2   389.1   459.9   504.9   540.7   585.6   645.7   747.5  1062.5  2373.8  9272.5  98928.5    99068
read      402.3   521.9   160.7   216.1   230.6   358.1   429.5   472.2   505.3   543.8   593.3   683.7  1195.8  2538.7  9543.3  51353.0    51267
read      690.5  2127.9   160.7   219.8   238.0   387.1   460.1   505.6   538.5   578.3   635.1   810.9 10607.4 31693.9 41998.0  11867.2    11822
read      449.5   360.0   160.7   223.5   243.0   384.7   457.8   504.4   542.7   592.0   663.9   806.5  1721.9  3149.7 11965.4  97384.2    97494
read      440.4   367.4   160.7   222.7   241.6   380.5   453.9   501.2   539.2   588.5   663.5   806.2  1410.9  3918.8 12237.4  97091.2    97350
read      425.3   515.2   160.7   212.2   226.4   356.3   431.4   478.5   513.8   557.1   619.1   738.8  1644.5  5795.3 28443.6  55612.0    55460
read      428.2   459.4   160.7   216.7   232.0   361.7   431.5   474.7   509.8   556.7   625.8   752.9  1697.4  4722.2 16176.8  85968.8    85984
read      448.6   543.4   160.7   216.1   231.7   364.5   437.6   485.0   522.1   571.7   643.6   831.2  1891.5  5189.2 27641.5  81763.2    82043
read      418.7   406.9   160.7   214.1   228.4   360.6   438.0   485.7   520.2   561.8   620.3   726.5  1427.4  4240.0 11780.3  53027.5    52873
read      469.1   758.5   160.7   217.8   232.3   375.6   437.6   472.8   501.9   544.9   621.6   784.4  2769.1  8115.3 35362.7  13948.0    13911
