Random waveform, supplied seed
Total number of intervals = 212 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239)
Average QPS expected = 50537
Timestamp start: 1715282921165
Timestamp end: 1715283766723

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      413.4   651.7   173.5   225.7   247.1   373.6   423.8   451.1   469.5   492.4   520.3   568.5   934.8  7814.0 31763.6   7367.8     7434
read      446.7   762.2   160.7   215.4   230.0   356.3   429.4   472.8   506.5   547.4   606.8   735.3  1803.9 12384.8 29315.6  66834.8    67201
read      390.2   282.7   160.7   214.6   229.2   346.7   413.2   454.5   486.1   525.3   578.6   672.2   993.9  3074.9  7611.3  86254.8    85927
read      390.2   231.6   160.7   213.2   227.1   346.9   420.8   466.0   499.6   538.1   589.0   682.7   964.0  2368.5  8090.9  63901.2    63953
read      392.5   206.1   160.7   214.6   228.8   357.7   436.6   479.6   507.4   538.7   581.2   662.4   901.6  1781.1  8939.4  31440.0    31595
read      384.1   270.2   160.7   213.7   228.4   344.2   409.3   450.0   480.3   517.5   569.7   660.2   913.3  2500.0 10495.0  87912.2    87879
read      404.5   481.8   173.5   224.6   244.8   370.6   414.1   438.2   456.4   476.4   506.0   564.3  1101.2  7128.3 22865.6   7346.2     7287
read      396.4   229.9   160.7   212.1   226.4   348.1   422.2   468.0   502.8   543.7   599.9   708.1  1220.9  2128.0  6645.6  62323.2    62295
read      755.9  2658.6   160.7   221.0   241.6   359.3   403.3   428.2   446.8   469.0   506.0   830.8 12977.8 36038.1 42916.1   6566.0     6561
read      431.6   725.8   160.7   217.9   231.8   368.3   444.4   481.8   507.1   537.7   581.1   681.5  1263.1  9890.9 31640.5  22587.2    22532
read      389.4   235.2   160.7   212.6   226.5   346.4   421.2   466.1   499.5   537.5   586.4   674.1   979.1  2083.9  9550.6  60620.8    60653
read      385.3   207.5   160.7   212.1   226.0   347.3   421.2   465.5   498.0   535.4   583.3   666.5   879.8  1740.2  6870.7  59248.5    59076
read      396.5   286.5   160.7   213.6   227.7   352.8   428.9   473.6   507.1   545.7   596.0   687.1   949.4  2699.7  9863.7  60378.8    60154
read      389.0   304.2   160.7   217.2   231.0   360.8   436.7   472.8   496.7   523.5   555.8   618.6   815.9  1492.3 19139.4  22868.5    22964
read      833.5  2952.0   160.7   218.3   235.9   372.2   429.5   462.8   487.4   516.3   558.9   847.1 14666.4 36954.5 50641.9   8171.5     8172
read      434.3   595.1   160.7   217.7   232.0   364.9   447.9   492.5   523.4   558.7   613.5   732.7  1405.7  8267.9 18974.4  27654.0    27652
read      421.3   345.4   160.7   220.3   235.6   371.2   448.2   495.5   530.0   570.3   624.2   717.3  1313.6  3524.5 10906.7  37538.5    37594
read      400.1   216.0   160.7   220.8   235.8   363.1   444.5   485.9   513.1   542.3   581.7   650.8  1054.0  1713.3  6912.5  24401.5    24367
read      405.9   240.4   160.7   218.0   232.1   360.8   439.2   486.5   519.4   556.4   605.2   690.4  1182.3  2016.0  7769.1  33808.8    33771
read      420.8   385.3   160.7   221.2   237.6   369.6   443.3   489.3   524.3   568.1   628.3   731.9  1126.1  3931.7 12757.3  84938.5    84944
read      420.3   411.7   160.7   216.0   230.9   357.2   426.8   469.2   502.6   544.4   606.8   734.6  1669.6  4245.2 14357.2  85857.2    85666
read      413.5   266.1   160.7   214.8   229.2   364.4   442.2   489.5   524.5   566.3   623.5   724.5  1341.5  2529.6  8446.3  51746.0    51918
read      411.2   265.1   160.7   216.2   230.6   364.3   445.1   493.0   526.6   565.6   618.3   711.3  1187.4  2382.5  9728.3  34590.8    34406
read      411.4   339.3   160.7   216.2   230.6   361.3   442.8   489.2   520.4   554.5   602.5   690.1  1243.2  3733.9 10020.1  28632.5    28664
read      411.3   265.9   160.7   215.4   230.0   366.6   443.8   490.6   524.5   564.7   620.4   714.7  1219.4  2321.6  8568.7  38350.8    38289
read      388.3   239.1   160.7   215.8   228.9   359.5   434.9   471.3   495.2   521.6   552.4   616.2   921.6  2184.3  9688.9  20571.0    20658
read      487.8   858.8   160.7   218.0   233.7   383.4   446.9   484.2   514.5   558.8   633.7   775.1  3119.5 11696.5 31528.9  13861.8    13840
read      465.1   419.4   160.7   222.1   240.6   384.0   456.5   502.3   540.1   591.6   680.3   920.1  1841.9  4129.4 10587.7  93419.5    93419
read      448.9   371.5   160.7   230.4   253.1   398.4   471.8   520.2   557.3   606.1   674.3   785.5  1174.3  3207.9 12821.6  98199.5    98284
read      423.7   329.1   160.7   215.7   230.4   360.9   435.8   483.6   519.9   566.5   633.2   759.7  1634.7  3343.1  9101.9  71138.5    71313
read      409.7   340.3   160.7   212.9   227.1   357.7   430.9   478.4   513.7   554.1   609.5   704.7  1303.4  4070.6 12051.7  42016.2    42089
read      412.0   262.6   160.7   215.0   229.6   364.4   441.2   489.7   525.5   568.4   627.3   727.8  1262.5  2288.1  8848.0  46474.2    46458
read      408.3  1074.0   160.7   215.0   229.3   356.8   435.9   483.5   515.4   549.8   595.7   678.6  1198.2  3148.1 10224.0  30763.2    30755
read      410.1   593.8   160.7   214.8   229.0   363.7   440.2   486.9   521.3   560.7   615.1   704.3  1230.6  2287.8 12869.5  42621.0    42889
read      450.5   602.5   160.7   223.6   242.3   381.1   453.9   500.8   538.5   587.0   658.8   792.1  1727.3  5013.4 22693.0  93564.5    93552
read      427.5   331.3   160.7   216.1   230.4   361.9   440.1   489.1   526.2   572.8   640.7   788.9  1638.0  3304.2  7859.8  65974.8    65694
read      394.1   277.3   160.7   214.3   228.1   348.4   430.7   477.2   508.2   541.9   584.6   662.0  1055.8  2008.9 12583.2  29454.0    29574
read      411.4   534.6   160.7   214.1   228.5   361.2   436.7   483.7   518.6   559.8   616.6   715.2  1363.8  2542.3 12048.7  51255.5    51355
read      418.5   367.2   148.8   213.3   227.8   356.2   430.0   476.4   511.9   556.2   622.4   752.0  1634.7  3439.6 11076.3  67456.5    67361
read      483.5   770.3   160.7   217.8   232.6   386.7   460.7   500.6   533.4   583.6   668.8   840.2  2769.4  8051.4 31039.7  16364.0    16287
read      425.4   415.5   160.7   217.5   232.3   361.7   434.4   478.9   513.1   556.5   619.4   738.7  1631.6  4847.7 12799.1  81525.5    81508
read      422.6   360.7   160.7   218.7   234.1   364.6   435.0   479.3   513.2   555.9   617.4   735.9  1559.8  4592.1  9243.1  87632.8    87619
